,Date Occurred,Crime Code,MO Codes,Address,Cross Street,Location,lat_lng,Zipcode
847,06/03/2010,121,0344 0408 0507 0549 0527 1019 1020 1218 1402 1817,6TH,MAPLE,"(34.0435, -118.2471)","[34.0435, -118.2471]",90014
1486,04/03/2010,121,0500 0532 0527 0522 1802,600 S  SAN PEDRO                    ST,,"(34.0423, -118.2452)","[34.0423, -118.2452]",90014
1571,10/05/2010,121,,LOS ANGELES,1ST                          ST,"(34.0515, -118.2424)","[34.0515, -118.2424]",90013
2041,10/15/2010,121,0408 0416 0421 0418 0519 0527 1415 1402 1814 2000,1200 W  7TH                          ST,,"(34.0515, -118.2658)","[34.0515, -118.2658]",90017
2348,01/01/2010,121,0504 0500 0444 0532 0913 1258,1200 S  HOOVER                       ST,,"(34.0492, -118.2842)","[34.0492, -118.2842]",90006
3078,05/07/2010,121,0504 0500 0527 0556 0913 1251 1258 1402,1000 N  MARIPOSA                     AV,,"(34.0891, -118.2992)","[34.0891, -118.2992]",90029
3270,05/26/2010,121,0432 0522 1243 1241 1821 2000,1400 W  6TH                          ST,,"(34.0562, -118.2673)","[34.0562, -118.2673]",90017
4899,01/14/2015,121,2002 0500,400 S  FIGUEROA                     ST,,"(34.0535, -118.256)","[34.0535, -118.256]",90071
4948,08/21/2010,121,0305 0400 0444 0537 0527 1300 1302 1402,39TH                         ST,VERMONT,"(34.0155, -118.2915)","[34.0155, -118.2915]",90037
5154,01/13/2015,121,1415 0411 0421 0519 0522 0449 0356 0500 0527,500 S  SPRING                       ST,,"(34.0467, -118.252)","[34.0467, -118.252]",90014
5221,01/27/2010,121,0400 0527,4600    COLISEUM                     ST,,"(34.017, -118.3471)","[34.017, -118.3471]",90008
5334,02/10/2010,121,0416 1309 1415 1822,COLISEUM,KING                         BL,"(34.017, -118.3477)","[34.017, -118.3477]",90008
5360,02/14/2010,121,0507 0527,4100    HILLCREST                    DR,,"(34.0115, -118.3488)","[34.0115, -118.3488]",90008
6347,06/06/2010,121,0344 0410 0432 0507 0526 0527 1300 1415 1402,3800 S  HOBART                       BL,,"(34.0174, -118.3078)","[34.0174, -118.3078]",90018
7033,08/11/2010,121,0416 0421 0429 0519 0527 1402,4200 S  FIGUEROA                     ST,,"(34.0072, -118.2827)","[34.0072, -118.2827]",90037
8222,12/05/2010,121,0400 0516 0536 0532 1251 1402,4000    STEVELY                      AV,,"(34.015, -118.3536)","[34.015, -118.3536]",90008
8597,09/17/2010,121,0202 0526 1206 1251 1262 1259 1309 1415 1409,8TH,LORENA,"(34.0205, -118.2024)","[34.0205, -118.2024]",90023
11116,09/28/2010,121,0342 0429 0444 0532 0527 1251 1259 1309,2400    EASTLAKE                     AV,,"(34.0738, -118.2078)","[34.0738, -118.2078]",90031
11882,07/07/2010,121,0527 1309 1402 1415 1821,3300    PECK                         AV,,"(33.7143, -118.2916)","[33.7143, -118.2916]",90822
12223,02/05/2015,121,0527,5TH                          ST,FLOWER                       ST,"(34.0516, -118.2561)","[34.0516, -118.2561]",90071
12915,02/01/2010,121,0400 0432 0527 0913 1243 1814 2000,200 W  14TH                         ST,,"(33.7315, -118.2814)","[33.7315, -118.2814]",90731
15704,04/02/2010,121,0400 0500 1018 1206 1402 1415,1800 N  CAHUENGA                     BL,,"(34.104, -118.3297)","[34.104, -118.3297]",90028
17328,02/20/2015,121,1415 0500 0522 2002 1206,200 W  5TH                          ST,,"(34.0488, -118.25)","[34.0488, -118.25]",90014
19261,07/27/2010,121,0500 1414,1600 S  LA BREA                      AV,,"(34.0459, -118.3454)","[34.0459, -118.3454]",90019
19623,09/19/2010,121,0400 0527,1800 S  LA BREA                      AV,,"(34.0424, -118.3467)","[34.0424, -118.3467]",90019
21963,08/15/2010,121,,WILSHIRE                     BL,BARRINGTON                   AV,"(34.0495, -118.4609)","[34.0495, -118.4609]",90025
22628,03/01/2010,121,0527 1206 1262 1822,1000    GAYLEY                       AV,,"(34.062, -118.448)","[34.062, -118.448]",90025
22958,12/24/2010,121,,2200    TERRANCE,,"(34.1033, -118.4916)","[34.1033, -118.4916]",90049
24817,07/28/2010,121,0400 0507 0542 0534 0536 0527 0526 1309 1415 1822,15500    SHERMAN                      WY,,"(34.2012, -118.4706)","[34.2012, -118.4706]",91406
25634,11/02/2010,121,1822 0101 0421 1501 0501 0500 0542 0527 1009 1268,6700    VAN NUYS                     BL,,"(34.1925, -118.4487)","[34.1925, -118.4487]",91405
27378,05/15/2010,121,1501,19400    STRATHERN                    ST,,"(34.2156, -118.556)","[34.2156, -118.556]",91335
27487,03/31/2015,121,0305 0409 0532 0527,COMMERCIAL,HEWITT,"(34.0532, -118.2355)","[34.0532, -118.2355]",90013
30044,03/30/2010,121,0500 1402,3500    MARGUERITE                   ST,,"(34.1179, -118.2378)","[34.1179, -118.2378]",90065
33666,04/26/2010,121,0400 0519 0516 0537 0527 1018 1206,4600 S  WESTERN                      AV,,"(34.0019, -118.3089)","[34.0019, -118.3089]",90062
33764,05/17/2010,121,0527 1262 1415 1822,7200 S  HOOVER                       ST,,"(33.9747, -118.2871)","[33.9747, -118.2871]",90003
34395,07/20/2010,121,0400 0516 0906 1251 1259 1409 2000,6TH                          AV,64TH                         ST,"(33.9818, -118.3235)","[33.9818, -118.3235]",90043
34883,07/25/2010,121,0537 1010 1814,600 W  85TH                         ST,,"(33.9611, -118.2842)","[33.9611, -118.2842]",90003
37991,07/28/2010,121,0416 0500 0913 1402 1817,5800 S  LOS ANGELES                  ST,,"(33.9877, -118.2705)","[33.9877, -118.2705]",90037
38798,10/19/2010,121,1402 1501,700 S  SAN PEDRO                    ST,,"(34.0407, -118.2468)","[34.0407, -118.2468]",90014
39923,01/07/2010,121,0500,800    OCEAN FRONT                  WK,,"(33.9913, -118.4775)","[33.9913, -118.4775]",90291
40790,04/19/2010,121,0400 0512 0519 0510 0500 0537 0527 0522 1259 1815,5400 W  98TH                         ST,,"(33.9477, -118.375)","[33.9477, -118.375]",90304
48865,09/01/2010,121,0112 0402 0415 0507 0501 0542 0537 0526 0527 1305,KEWEN,LANKERSHIM,"(34.2252, -118.3878)","[34.2252, -118.3878]",91605
52240,05/30/2015,121,1402 0527 1206 1262,500    WALL                         ST,,"(34.0449, -118.2458)","[34.0449, -118.2458]",90014
54487,04/06/2010,121,0515 0516 0510 0503 0537 0527 0526 0522 1309 1817,HOBART,WESTERN,"(34.0726, -118.3073)","[34.0726, -118.3073]",90020
56967,02/16/2010,121,0527 1402 1822,KELVIN                       AV,AVENUE SAN LUIS,"(34.1648, -118.5771)","[34.1648, -118.5771]",91356
57896,03/02/2010,121,0527 1202 1818,21200    VENTURA                      BL,,"(34.1673, -118.5946)","[34.1673, -118.5946]",91364
57900,06/03/2010,121,0515 0522 1257 1402,7300    DE SOTO                      AV,,"(34.2029, -118.5885)","[34.2029, -118.5885]",91303
59722,09/25/2010,121,0503 0500 1816,500 S  SPRING                       ST,,"(34.0474, -118.2496)","[34.0474, -118.2496]",90014
59834,08/25/2010,121,0360 0419 0444 0537 0527 1251 1259 2002,400    WITMER                       ST,,"(34.0576, -118.2644)","[34.0576, -118.2644]",90017
59837,11/01/2010,121,0400 0416 0432 0443 0537 0532 0527 1814 2000 2002,1700 W  7TH                          ST,,"(34.0544, -118.2723)","[34.0544, -118.2723]",90057
59844,04/07/2010,121,0527 1814 2000,12TH                         ST,UNION                        AV,"(34.0462, -118.276)","[34.0462, -118.276]",90015
59975,04/01/2010,121,0400 1402 0527 1259,2900 S  BUDLONG                      AV,,"(34.0287, -118.2959)","[34.0287, -118.2959]",90007
60053,11/30/2010,121,0400 0510 0531 0532 0536 0537 0527 1251 1259,3600 N  MISSION                      RD,,"(34.0678, -118.2024)","[34.0678, -118.2024]",90033
60057,06/01/2010,121,,1900    NEW JERSEY                   ST,,"(34.0492, -118.2157)","[34.0492, -118.2157]",90033
60059,05/01/2010,121,0519 0448 0537 0536 0527 0913 1814,1200    GABRIEL GARCIA MARQUEZ       ST,,"(34.051, -118.227)","[34.051, -118.227]",90013
60588,08/26/2010,121,,LA CIENEGA,PICO,"(34.0534, -118.3762)","[34.0534, -118.3762]",90035
61034,08/18/2010,121,0537 0527 0913 1251 1259,1700 W  SLAUSON                      AV,,"(33.9892, -118.3062)","[33.9892, -118.3062]",90062
61067,04/01/2010,121,0432 0520 0527 0556 1251 1258 1402 1809,1100 W  70TH                         ST,,"(33.9762, -118.2937)","[33.9762, -118.2937]",90037
61115,01/01/2010,121,0400 0422 0448 0527 1251 1259 1809,900 W  48TH                         ST,,"(33.9996, -118.2893)","[33.9996, -118.2893]",90037
61165,10/01/2010,121,0360 0510 0503 0536 0522 0527 1251 1243 1258 1415,4700 S  FIGUEROA                     ST,,"(34.0009, -118.2827)","[34.0009, -118.2827]",90037
61262,06/23/2015,121,0416 0417 1814 2000 0500,700    CLEVELAND                    ST,,"(34.0628, -118.242)","[34.0628, -118.242]",90012
61596,07/31/2010,121,0400 0500 0537 0527 0556 0913 1206 1259 1262 2001,11700    RUNNYMEDE                    ST,,"(34.2058, -118.3878)","[34.2058, -118.3878]",91605
61635,09/19/2010,121,0400 0416 0444 0532 0537 0527 0913 1814 2000 2002,11900    WEDDINGTON                   ST,,"(34.1667, -118.3922)","[34.1667, -118.3922]",91607
62413,01/01/2010,121,1259 0500,300    WITMER                       ST,,"(34.0591, -118.2635)","[34.0591, -118.2635]",90071
62419,09/01/2010,121,1251 0421 2002 0422 0519 0507 0527 1818 1259,300 N  KENMORE                      AV,,"(34.0763, -118.297)","[34.0763, -118.297]",90004
62450,10/07/2010,121,0527 0522 0510 0537 0536 0400 0361,100    UNION                        PL,,"(34.0637, -118.2638)","[34.0637, -118.2638]",90071
62489,08/28/2010,121,0527 0400 0913 1300 1814,800 W  42ND                         PL,,"(34.0065, -118.2872)","[34.0065, -118.2872]",90037
62506,12/04/2010,121,1402 1813 2002 1206 0527,3100    MC CLINTOCK                  AV,,"(34.0269, -118.2858)","[34.0269, -118.2858]",90007
62582,06/01/2010,121,0500,5300 W  OLYMPIC                      BL,,"(34.0572, -118.3459)","[34.0572, -118.3459]",90019
62701,06/20/2010,121,0360 0422 0444 0510 0527 0537 1309 0516 0536 0526,600 W  59TH                         PL,,"(33.986, -118.2843)","[33.986, -118.2843]",90037
62808,04/16/2010,121,0527 0528 0503 1206 0913 0500 1817 0522 2002,4500    LAUREL CANYON                BL,,"(34.146, -118.3962)","[34.146, -118.3962]",91604
62901,07/29/2010,121,1259 1251 0429 0305 0527 0537,114TH                        ST,PARMELEE                     AV,"(33.9311, -118.2493)","[33.9311, -118.2493]",90059
62965,07/01/2010,121,0603 0522 0510 0537 0532 0527 1309 0503 0512 0432,900 S  HARVARD                      BL,,"(34.0559, -118.3042)","[34.0559, -118.3042]",90010
63028,06/01/2010,121,2004 1218 0527 0532 0913 0429 0444,300 S  HOPE                         ST,,"(34.0537, -118.2523)","[34.0537, -118.2523]",90071
63052,08/01/2010,121,0602 0416 0444 0537 0527,1300    EMERALD                      DR,,"(34.0594, -118.2599)","[34.0594, -118.2599]",90071
63056,10/01/2010,121,2002 1206 0527 0913 0522 0515,W  31ST                         ST,S  FIGUEROA,"(34.0242, -118.2786)","[34.0242, -118.2786]",90007
63164,08/31/2010,121,0527 0500 0532,2400    CORINTH                      AV,,"(34.0343, -118.4392)","[34.0343, -118.4392]",90064
63221,01/01/2010,121,0913 0527 0503 0537 0512 0507 0516 0542,62ND                         ST,CIMARRON,"(33.9834, -118.3158)","[33.9834, -118.3158]",90062
63240,12/01/2010,121,0448 0527 0536 0537 0906 0913,ASCOT                        AV,43RD                         PL,"(34.005, -118.2498)","[34.005, -118.2498]",90011
63276,01/01/2010,121,1258 0519 0527 0507 0913,12200    OSBORNE                      PL,,"(34.2619, -118.3989)","[34.2619, -118.3989]",91331
63386,03/04/2010,121,0500,1500    SAN PABLO                    ST,,"(34.0624, -118.2032)","[34.0624, -118.2032]",90033
63398,04/01/2010,121,0913 1259 0515 0527 1807,700 W  33RD                         ST,,"(33.7143, -118.2916)","[33.7143, -118.2916]",90822
63419,08/01/2010,121,0429 0500 0527 0532 0536,WASHINGTON                   BL,LA BREA                      AV,"(34.0404, -118.3475)","[34.0404, -118.3475]",90019
63467,12/01/2010,121,0360 0504 0507 0512 0515 0526 0527 0542 0558 1251,400 W  52ND                         ST,,"(33.9958, -118.281)","[33.9958, -118.281]",90037
63521,01/01/2010,121,1258 1251 0527 1801 0522 0515,11500 S  MONA                         BL,,"(33.9304, -118.2306)","[33.9304, -118.2306]",90059
