Date,Value
2010-01-31,343000.0
2010-02-28,349000.0
2010-03-31,349900.0
2010-04-30,349900.0
2010-05-31,349900.0
2010-06-30,349900.0
2010-07-31,349000.0
2010-08-31,342700.0
2010-09-30,339900.0
2010-10-31,339900.0
2010-11-30,335000.0
2010-12-31,325000.0
2011-01-31,320000.0
2011-02-28,319900.0
2011-03-31,325500.0
2011-04-30,330000.0
2011-05-31,340000.0
2011-06-30,345000.0
2011-07-31,339900.0
2011-08-31,334900.0
2011-09-30,335000.0
2011-10-31,329900.0
2011-11-30,319900.0
2011-12-31,310000.0
2012-01-31,319900.0
2012-02-29,327900.0
2012-03-31,336500.0
2012-04-30,349000.0
2012-05-31,349900.0
2012-06-30,349000.0
2012-07-31,339990.0
2012-08-31,339900.0
2012-09-30,339900.0
2012-10-31,339900.0
2012-11-30,339900.0
2012-12-31,337500.0
2013-01-31,339000.0
2013-02-28,345000.0
2013-03-31,350000.0
2013-04-30,365000.0
2013-05-31,370000.0
2013-06-30,375000.0
2013-07-31,369900.0
2013-08-31,359900.0
2013-09-30,369000.0
2013-10-31,369900.0
2013-11-30,369900.0
2013-12-31,362000.0
2014-01-31,359999.0
2014-02-28,377900.0
2014-03-31,379900.0
2014-04-30,389900.0
2014-05-31,395000.0
2014-06-30,395000.0
2014-07-31,389000.0
2014-08-31,379900.0
2014-09-30,384900.0
2014-10-31,389000.0
2014-11-30,386999.5
2014-12-31,379900.0
2015-01-31,379900.0
2015-02-28,380000.0
2015-03-31,389900.0
2015-04-30,399000.0
2015-05-31,399900.0
2015-06-30,400000.0
2015-07-31,399900.0
2015-08-31,395000.0
2015-09-30,399900.0
2015-10-31,399900.0
2015-11-30,399900.0
2015-12-31,399000.0
2016-01-31,399000.0
2016-02-29,409000.0
2016-03-31,429000.0
2016-04-30,439900.0
2016-05-31,444900.0
2016-06-30,442900.0
2016-07-31,439000.0
2016-08-31,429900.0
2016-09-30,439900.0
2016-10-31,449000.0
2016-11-30,449000.0
2016-12-31,445900.0
2017-01-31,444900.0
2017-02-28,457350.0
2017-03-31,475000.0
2017-04-30,479900.0
2017-05-31,489120.0
2017-06-30,489500.0
2017-07-31,479000.0
2017-08-31,469900.0
2017-09-30,479000.0
2017-10-31,479900.0
2017-11-30,479900.0
2017-12-31,475000.0
2018-01-31,479000.0
2018-02-28,489900.0
2018-03-31,499900.0
2018-04-30,509900.0
2018-05-31,519000.0
2018-06-30,510000.0
2018-07-31,499900.0
2018-08-31,489900.0
2018-09-30,499000.0
2018-10-31,499000.0
2018-11-30,499900.0
2018-12-31,499000.0
2019-01-31,499000.0
2019-02-28,499900.0
2019-03-31,519900.0
2019-04-30,537550.0
