Date,Value
1996-04-30,144650.0
1996-05-31,148075.0
1996-06-30,153625.0
1996-07-31,156050.0
1996-08-31,158475.0
1996-09-30,152975.0
1996-10-31,150200.0
1996-11-30,148625.0
1996-12-31,147900.0
1997-01-31,151175.0
1997-02-28,149215.0
1997-03-31,149300.0
1997-04-30,151885.0
1997-05-31,156700.0
1997-06-30,161715.0
1997-07-31,161985.0
1997-08-31,162175.0
1997-09-30,159200.0
1997-10-31,156650.0
1997-11-30,157725.0
1997-12-31,160750.0
1998-01-31,162500.0
1998-02-28,158965.0
1998-03-31,161185.0
1998-04-30,163500.0
1998-05-31,166750.0
1998-06-30,171225.0
1998-07-31,174025.0
1998-08-31,175000.0
1998-09-30,171500.0
1998-10-31,168800.0
1998-11-30,168775.0
1998-12-31,168590.0
1999-01-31,172925.0
1999-02-28,171748.0
1999-03-31,173242.0
1999-04-30,176600.0
1999-05-31,180500.0
1999-06-30,185375.0
1999-07-31,191775.0
1999-08-31,195625.0
1999-09-30,191875.0
1999-10-31,186465.0
1999-11-30,186585.0
1999-12-31,189600.0
2000-01-31,185550.0
2000-02-29,185800.0
2000-03-31,190800.0
2000-04-30,196050.0
2000-05-31,201925.0
2000-06-30,214410.0
2000-07-31,217165.0
2000-08-31,218950.0
2000-09-30,214815.0
2000-10-31,212905.0
2000-11-30,218380.0
2000-12-31,220550.0
2001-01-31,223250.0
2001-02-28,224250.0
2001-03-31,225950.0
2001-04-30,227665.0
2001-05-31,232185.0
2001-06-30,244400.0
2001-07-31,252115.0
2001-08-31,254985.0
2001-09-30,252250.0
2001-10-31,248075.0
2001-11-30,247175.0
2001-12-31,248550.0
2002-01-31,249700.0
2002-02-28,250000.0
2002-03-31,252500.0
2002-04-30,261500.0
2002-05-31,270075.0
2002-06-30,283125.0
2002-07-31,288765.0
2002-08-31,294935.0
2002-09-30,293100.0
2002-10-31,288815.0
2002-11-30,287735.0
2002-12-31,288900.0
2003-01-31,288350.0
2003-02-28,282950.0
2003-03-31,277850.0
2003-04-30,281700.0
2003-05-31,289375.0
2003-06-30,302875.0
2003-07-31,310300.0
2003-08-31,314000.0
2003-09-30,309700.0
2003-10-31,304000.0
2003-11-30,300250.0
2003-12-31,304650.0
2004-01-31,305850.0
2004-02-29,300750.0
2004-03-31,301500.0
2004-04-30,308500.0
2004-05-31,317750.0
2004-06-30,330475.0
2004-07-31,337475.0
2004-08-31,339165.0
2004-09-30,334425.0
2004-10-31,330130.0
2004-11-30,327709.0
2004-12-31,324111.0
2005-01-31,323900.0
2005-02-28,320900.0
2005-03-31,320050.0
2005-04-30,323700.0
2005-05-31,332750.0
2005-06-30,347665.0
2005-07-31,356635.0
2005-08-31,355850.0
2005-09-30,351200.0
2005-10-31,344100.0
2005-11-30,343350.0
2005-12-31,343600.0
2006-01-31,339650.0
2006-02-28,333850.0
2006-03-31,332250.0
2006-04-30,335550.0
2006-05-31,337600.0
2006-06-30,349100.0
2006-07-31,351665.0
2006-08-31,348935.0
2006-09-30,342165.0
2006-10-31,335500.0
2006-11-30,334035.0
2006-12-31,331900.0
2007-01-31,332250.0
2007-02-28,332550.0
2007-03-31,331500.0
2007-04-30,335400.0
2007-05-31,343465.0
2007-06-30,354485.0
2007-07-31,362700.0
2007-08-31,361250.0
2007-09-30,349950.0
2007-10-31,337515.0
2007-11-30,335610.0
2007-12-31,327837.5
2008-01-31,329202.5
