Date,Value
1997-02-28,22.8
1997-03-31,21.35
1997-04-30,19.52
1997-05-31,17.69
1997-06-30,18.51
1997-07-31,15.6
1997-08-31,16.49
1997-09-30,16.55
1997-10-31,12.4
1997-11-30,11.45
1997-12-31,9.5
1998-01-31,9.99
1998-02-28,9.69
1998-03-31,9.32
1998-04-30,7.92
1998-05-31,7.03
1998-06-30,6.39
1998-07-31,5.37
1998-08-31,5.71
1998-09-30,5.37
1998-10-31,6.14
1998-11-30,5.77
1998-12-31,6.44
1999-01-31,5.32
1999-02-28,4.92
1999-03-31,5.21
1999-04-30,4.69
1999-05-31,4.84
1999-06-30,4.4
1999-07-31,3.79
1999-08-31,3.24
1999-09-30,3.03
1999-10-31,3.18
1999-11-30,3.48
1999-12-31,3.46
2000-01-31,4.76
2000-02-29,2.75
2000-03-31,2.32
2000-04-30,2.54
2000-05-31,2.39
2000-06-30,2.15
2000-07-31,1.93
2000-08-31,2.18
2000-09-30,2.1
2000-10-31,1.92
2000-11-30,1.43
2000-12-31,1.58
2001-01-31,1.09
2001-02-28,1.32
2001-03-31,1.5
2001-04-30,1.53
2001-05-31,1.58
2001-06-30,1.99
2001-07-31,2.02
2001-08-31,1.7
2001-09-30,1.77
2001-10-31,2.62
2001-11-30,3.03
2001-12-31,4.26
2002-01-31,5.22
2002-02-28,5.51
2002-03-31,6.11
2002-04-30,5.66
2002-05-31,5.58
2002-06-30,4.37
2002-07-31,4.1
2002-08-31,3.78
2002-09-30,4.18
2002-10-31,3.06
2002-11-30,2.89
2002-12-31,2.42
2003-01-31,2.98
2003-02-28,4.67
2003-03-31,4.71
2003-04-30,6.31
2003-05-31,5.93
2003-06-30,10.36
2003-07-31,12.01
2003-08-31,13.17
2003-09-30,12.61
2003-10-31,14.3
2003-11-30,15.5
2003-12-31,14.16
2004-01-31,14.25
2004-02-29,10.01
2004-03-31,8.88
2004-04-30,6.45
2004-05-31,6.64
2004-06-30,5.47
2004-07-31,5.03
2004-08-31,5.08
2004-09-30,5.15
2004-10-31,6.36
2004-11-30,6.69
2004-12-31,7.63
2005-01-31,8.11
2005-02-28,10.26
2005-03-31,9.04
2005-04-30,7.81
2005-05-31,8.1
2005-06-30,9.28
2005-07-31,10.12
2005-08-31,13.14
2005-09-30,12.58
2005-10-31,8.52
2005-11-30,11.26
2005-12-31,16.48
2006-01-31,22.95
2006-02-28,30.38
2006-03-31,37.21
2006-04-30,44.15
2006-05-31,52.57
2006-06-30,59.5
2006-07-31,66.02
2006-08-31,71.34
2006-09-30,76.47
2006-10-31,80.31
2006-11-30,82.46
2006-12-31,82.56
2007-01-31,82.62
2007-02-28,81.72
2007-03-31,81.57
2007-04-30,81.9
2007-05-31,80.37
2007-06-30,79.71
2007-07-31,78.33
2007-08-31,77.49
2007-09-30,76.12
2007-10-31,74.62
2007-11-30,73.74
2007-12-31,73.66
2008-01-31,74.74
2008-02-29,77.45
2008-03-31,81.03
2008-04-30,83.44
2008-05-31,85.08
2008-06-30,85.37
2008-07-31,85.58
2008-08-31,84.77
2008-09-30,84.77
2008-10-31,85.18
2008-11-30,85.3
2008-12-31,86.77
2009-01-31,86.52
2009-02-28,85.6
2009-03-31,83.66
2009-04-30,81.26
2009-05-31,78.35
2009-06-30,74.86
2009-07-31,70.82
2009-08-31,67.78
2009-09-30,63.21
2009-10-31,58.69
2009-11-30,53.1
2009-12-31,46.81
2010-01-31,43.64
2010-02-28,40.63
2010-03-31,37.64
2010-04-30,35.54
2010-05-31,33.53
2010-06-30,33.65
2010-07-31,35.45
2010-08-31,38.75
2010-09-30,42.61
2010-10-31,45.87
2010-11-30,51.73
2010-12-31,55.15
2011-01-31,56.36
2011-02-28,58.48
2011-03-31,58.96
2011-04-30,60.3
2011-05-31,62.7
2011-06-30,64.16
2011-07-31,65.74
2011-08-31,64.87
2011-09-30,64.56
2011-10-31,63.85
2011-11-30,61.38
2011-12-31,59.98
2012-01-31,58.47
2012-02-29,55.03
2012-03-31,51.99
2012-04-30,47.92
2012-05-31,42.47
2012-06-30,37.8
2012-07-31,33.13
2012-08-31,30.02
2012-09-30,27.41
2012-10-31,25.57
2012-11-30,23.49
2012-12-31,21.36
2013-01-31,19.08
2013-02-28,17.22
2013-03-31,14.95
2013-04-30,13.03
2013-05-31,11.61
2013-06-30,9.67
2013-07-31,8.23
2013-08-31,7.1
2013-09-30,6.33
2013-10-31,5.79
2013-11-30,5.36
2013-12-31,4.98
2014-01-31,4.76
2014-02-28,4.59
2014-03-31,5.02
2014-04-30,4.58
2014-05-31,5.46
2014-06-30,7.32
2014-07-31,9.96
2014-08-31,13.86
2014-09-30,17.66
2014-10-31,20.49
2014-11-30,23.44
2014-12-31,28.17
2015-01-31,32.43
2015-02-28,29.4
2015-03-31,24.59
2015-04-30,20.44
2015-05-31,20.66
2015-06-30,20.7
2015-07-31,21.95
2015-08-31,17.14
2015-09-30,13.95
2015-10-31,14.67
2015-11-30,15.51
2015-12-31,10.92
2016-01-31,10.67
2016-02-29,11.9
2016-03-31,13.76
2016-04-30,13.77
2016-05-31,8.06
2016-06-30,7.52
2016-07-31,9.03
2016-08-31,8.95
2016-09-30,8.23
2016-10-31,7.39
2016-11-30,7.68
2016-12-31,7.53
2017-01-31,7.79
2017-02-28,6.53
2017-03-31,5.96
2017-04-30,6.18
2017-05-31,5.77
2017-06-30,5.31
2017-07-31,5.72
2017-08-31,5.8
2017-09-30,5.4
2017-10-31,7.08
2017-11-30,8.22
2017-12-31,9.63
2018-01-31,10.94
2018-02-28,12.76
2018-03-31,15.3
2018-04-30,15.94
2018-05-31,14.27
2018-06-30,13.11
2018-07-31,13.53
2018-08-31,10.35
2018-09-30,15.34
2018-10-31,15.31
2018-11-30,14.14
2018-12-31,14.6
2019-01-31,14.0
2019-02-28,14.89
2019-03-31,15.92
2019-04-30,19.59
