Date,Value
1997-02-28,68.11
1997-03-31,69.41
1997-04-30,71.46
1997-05-31,73.28
1997-06-30,72.51
1997-07-31,76.24
1997-08-31,75.26
1997-09-30,75.52
1997-10-31,80.6
1997-11-30,82.29
1997-12-31,85.38
1998-01-31,84.69
1998-02-28,84.75
1998-03-31,85.58
1998-04-30,87.61
1998-05-31,89.02
1998-06-30,90.12
1998-07-31,91.82
1998-08-31,91.12
1998-09-30,91.66
1998-10-31,90.46
1998-11-30,91.23
1998-12-31,90.31
1999-01-31,92.01
1999-02-28,92.68
1999-03-31,92.01
1999-04-30,92.94
1999-05-31,92.79
1999-06-30,93.27
1999-07-31,94.33
1999-08-31,95.17
1999-09-30,95.58
1999-10-31,95.24
1999-11-30,94.81
1999-12-31,94.68
2000-01-31,92.64
2000-02-29,96.01
2000-03-31,96.73
2000-04-30,96.42
2000-05-31,96.55
2000-06-30,96.89
2000-07-31,97.18
2000-08-31,96.87
2000-09-30,96.92
2000-10-31,97.14
2000-11-30,97.92
2000-12-31,97.66
2001-01-31,98.5
2001-02-28,98.1
2001-03-31,97.85
2001-04-30,97.75
2001-05-31,97.63
2001-06-30,97.04
2001-07-31,96.95
2001-08-31,97.51
2001-09-30,97.43
2001-10-31,95.99
2001-11-30,95.28
2001-12-31,93.22
2002-01-31,91.72
2002-02-28,91.39
2002-03-31,90.48
2002-04-30,91.47
2002-05-31,91.6
2002-06-30,93.33
2002-07-31,93.8
2002-08-31,93.88
2002-09-30,93.27
2002-10-31,95.05
2002-11-30,95.34
2002-12-31,96.24
2003-01-31,95.48
2003-02-28,93.16
2003-03-31,93.06
2003-04-30,90.52
2003-05-31,90.94
2003-06-30,84.48
2003-07-31,81.68
2003-08-31,79.89
2003-09-30,80.41
2003-10-31,78.04
2003-11-30,76.07
2003-12-31,78.21
2004-01-31,78.31
2004-02-29,83.8
2004-03-31,85.68
2004-04-30,89.49
2004-05-31,89.09
2004-06-30,91.09
2004-07-31,91.57
2004-08-31,91.43
2004-09-30,91.25
2004-10-31,89.47
2004-11-30,89.21
2004-12-31,87.87
2005-01-31,86.87
2005-02-28,84.83
2005-03-31,85.78
2005-04-30,87.07
2005-05-31,86.35
2005-06-30,84.0
2005-07-31,82.82
2005-08-31,77.63
2005-09-30,78.57
2005-10-31,81.84
2005-11-30,76.98
2005-12-31,68.69
2006-01-31,60.35
2006-02-28,51.58
2006-03-31,43.94
2006-04-30,37.19
2006-05-31,29.68
2006-06-30,24.07
2006-07-31,19.31
2006-08-31,15.76
2006-09-30,12.8
2006-10-31,10.33
2006-11-30,9.23
2006-12-31,9.25
2007-01-31,9.32
