Date,Value
2006-02-28,19.4
2006-03-31,19.7
2006-04-30,20.1
2006-05-31,20.5
2006-06-30,21.0
2006-07-31,21.4
2006-08-31,22.0
2006-09-30,22.4
2006-10-31,23.0
2006-11-30,23.5
2006-12-31,24.0
2007-01-31,24.6
2007-02-28,25.2
2007-03-31,26.0
2007-04-30,26.7
2007-05-31,27.5
2007-06-30,28.5
2007-07-31,29.5
2007-08-31,30.8
2007-09-30,31.7
2007-10-31,32.7
2007-11-30,33.6
2007-12-31,34.6
2008-01-31,35.6
2008-02-29,36.6
2008-03-31,37.7
2008-04-30,38.8
2008-05-31,39.8
2008-06-30,40.6
2008-07-31,41.2
2008-08-31,41.5
2008-09-30,41.6
2008-10-31,41.6
2008-11-30,41.6
2008-12-31,41.5
2009-01-31,41.2
2009-02-28,41.0
2009-03-31,40.8
2009-04-30,40.5
2009-05-31,40.1
2009-06-30,39.8
2009-07-31,39.7
2009-08-31,39.6
2009-09-30,39.7
2009-10-31,39.9
2009-11-30,40.3
2009-12-31,40.7
2010-01-31,41.2
2010-02-28,41.8
2010-03-31,42.8
2010-04-30,43.6
2010-05-31,44.5
2010-06-30,45.4
2010-07-31,46.1
2010-08-31,46.8
2010-09-30,47.1
2010-10-31,47.3
2010-11-30,47.2
2010-12-31,47.4
2011-01-31,47.7
2011-02-28,48.6
2011-03-31,49.3
2011-04-30,49.7
2011-05-31,50.0
2011-06-30,50.2
2011-07-31,50.4
2011-08-31,50.6
2011-09-30,50.9
2011-10-31,51.1
2011-11-30,51.4
2011-12-31,51.6
2012-01-31,51.8
2012-02-29,51.9
2012-03-31,51.9
2012-04-30,51.8
2012-05-31,51.5
2012-06-30,51.0
2012-07-31,50.1
2012-08-31,48.9
2012-09-30,47.3
2012-10-31,45.7
2012-11-30,43.9
2012-12-31,42.1
2013-01-31,40.4
2013-02-28,38.7
2013-03-31,37.3
2013-04-30,35.9
2013-05-31,34.5
2013-06-30,33.4
2013-07-31,32.5
2013-08-31,31.6
2013-09-30,30.8
2013-10-31,30.3
2013-11-30,29.7
2013-12-31,29.2
2014-01-31,28.8
2014-02-28,28.4
2014-03-31,28.0
2014-04-30,27.6
2014-05-31,27.1
2014-06-30,26.7
2014-07-31,26.4
2014-08-31,26.1
2014-09-30,25.8
2014-10-31,25.5
2014-11-30,25.2
2014-12-31,24.9
2015-01-31,24.5
2015-02-28,24.3
2015-03-31,24.0
2015-04-30,23.8
2015-05-31,23.6
2015-06-30,23.4
2015-07-31,23.2
2015-08-31,23.0
2015-09-30,22.8
2015-10-31,22.5
2015-11-30,22.4
2015-12-31,22.3
2016-01-31,22.0
2016-02-29,21.7
2016-03-31,21.5
