Date,Value
1996-04-30,151200.0
1996-05-31,151500.0
1996-06-30,151800.0
1996-07-31,152200.0
1996-08-31,152600.0
1996-09-30,153000.0
1996-10-31,153500.0
1996-11-30,154000.0
1996-12-31,154700.0
1997-01-31,155500.0
1997-02-28,156300.0
1997-03-31,157100.0
1997-04-30,157900.0
1997-05-31,158800.0
1997-06-30,159800.0
1997-07-31,160800.0
1997-08-31,161800.0
1997-09-30,162900.0
1997-10-31,164000.0
1997-11-30,165300.0
1997-12-31,166800.0
1998-01-31,168500.0
1998-02-28,170100.0
1998-03-31,171500.0
1998-04-30,172900.0
1998-05-31,174200.0
1998-06-30,175400.0
1998-07-31,176600.0
1998-08-31,177700.0
1998-09-30,178700.0
1998-10-31,179900.0
1998-11-30,181100.0
1998-12-31,182700.0
1999-01-31,184400.0
1999-02-28,186300.0
1999-03-31,188100.0
1999-04-30,190200.0
1999-05-31,192300.0
1999-06-30,194600.0
1999-07-31,196900.0
1999-08-31,199300.0
1999-09-30,201800.0
1999-10-31,204300.0
1999-11-30,207000.0
1999-12-31,210100.0
2000-01-31,213400.0
2000-02-29,216800.0
2000-03-31,220100.0
2000-04-30,223500.0
2000-05-31,227000.0
2000-06-30,230500.0
2000-07-31,234100.0
2000-08-31,237700.0
2000-09-30,241100.0
2000-10-31,244300.0
2000-11-30,247400.0
2000-12-31,250300.0
2001-01-31,253200.0
2001-02-28,255800.0
2001-03-31,258300.0
2001-04-30,260800.0
2001-05-31,263300.0
2001-06-30,266100.0
2001-07-31,269000.0
2001-08-31,271900.0
2001-09-30,274900.0
2001-10-31,277800.0
2001-11-30,280700.0
2001-12-31,283400.0
2002-01-31,285900.0
2002-02-28,288200.0
2002-03-31,290500.0
2002-04-30,292800.0
2002-05-31,295200.0
2002-06-30,297800.0
2002-07-31,300600.0
2002-08-31,303500.0
2002-09-30,306500.0
2002-10-31,309700.0
2002-11-30,313000.0
2002-12-31,316200.0
2003-01-31,319200.0
2003-02-28,322000.0
2003-03-31,324700.0
2003-04-30,327200.0
2003-05-31,329500.0
2003-06-30,331700.0
2003-07-31,333700.0
2003-08-31,335500.0
2003-09-30,337400.0
2003-10-31,339300.0
2003-11-30,341100.0
2003-12-31,343200.0
2004-01-31,345300.0
2004-02-29,347600.0
2004-03-31,350100.0
2004-04-30,352700.0
2004-05-31,355300.0
2004-06-30,358100.0
2004-07-31,360900.0
2004-08-31,363700.0
2004-09-30,366500.0
2004-10-31,369300.0
2004-11-30,371900.0
2004-12-31,374500.0
2005-01-31,377000.0
2005-02-28,379400.0
2005-03-31,381700.0
2005-04-30,383800.0
2005-05-31,385200.0
2005-06-30,386100.0
2005-07-31,386600.0
2005-08-31,386600.0
2005-09-30,386400.0
2005-10-31,385900.0
2005-11-30,385100.0
2005-12-31,384000.0
2006-01-31,382700.0
2006-02-28,381300.0
2006-03-31,379800.0
2006-04-30,378300.0
2006-05-31,376700.0
2006-06-30,374900.0
2006-07-31,373000.0
2006-08-31,370800.0
2006-09-30,368700.0
2006-10-31,366700.0
2006-11-30,364900.0
2006-12-31,363400.0
2007-01-31,362600.0
2007-02-28,362100.0
2007-03-31,361600.0
2007-04-30,361000.0
2007-05-31,360100.0
2007-06-30,358900.0
2007-07-31,357600.0
2007-08-31,356200.0
2007-09-30,354700.0
2007-10-31,352900.0
2007-11-30,350800.0
2007-12-31,348600.0
2008-01-31,346500.0
2008-02-29,344400.0
2008-03-31,342200.0
2008-04-30,339700.0
2008-05-31,337200.0
2008-06-30,334700.0
2008-07-31,332400.0
2008-08-31,330500.0
2008-09-30,329100.0
2008-10-31,327900.0
2008-11-30,326800.0
2008-12-31,325900.0
2009-01-31,325300.0
2009-02-28,324700.0
2009-03-31,323500.0
2009-04-30,321500.0
2009-05-31,319000.0
2009-06-30,316800.0
2009-07-31,315800.0
2009-08-31,316000.0
2009-09-30,316500.0
2009-10-31,317200.0
2009-11-30,317800.0
2009-12-31,318500.0
2010-01-31,319600.0
2010-02-28,320700.0
