Date,Value
2010-11-30,1.206
2010-12-31,1.202
2011-01-31,1.19
2011-02-28,1.178
2011-03-31,1.172
2011-04-30,1.176
2011-05-31,1.182
2011-06-30,1.19
2011-07-31,1.2
2011-08-31,1.21
2011-09-30,1.214
2011-10-31,1.212
2011-11-30,1.206
2011-12-31,1.198
2012-01-31,1.194
2012-02-29,1.19
2012-03-31,1.19
2012-04-30,1.196
2012-05-31,1.206
2012-06-30,1.218
2012-07-31,1.232
2012-08-31,1.24
2012-09-30,1.246
2012-10-31,1.244
2012-11-30,1.24
2012-12-31,1.232
2013-01-31,1.224
2013-02-28,1.218
2013-03-31,1.218
2013-04-30,1.222
2013-05-31,1.228
2013-06-30,1.24
2013-07-31,1.254
2013-08-31,1.268
2013-09-30,1.278
2013-10-31,1.28
2013-11-30,1.278
2013-12-31,1.274
2014-01-31,1.27
2014-02-28,1.264
2014-03-31,1.26
2014-04-30,1.26
2014-05-31,1.266
2014-06-30,1.276
2014-07-31,1.292
2014-08-31,1.312
2014-09-30,1.33
2014-10-31,1.338
2014-11-30,1.338
2014-12-31,1.336
2015-01-31,1.336
2015-02-28,1.34
2015-03-31,1.344
2015-04-30,1.352
2015-05-31,1.364
2015-06-30,1.384
2015-07-31,1.406
2015-08-31,1.426
2015-09-30,1.438
2015-10-31,1.44
2015-11-30,1.432
2015-12-31,1.422
2016-01-31,1.416
2016-02-29,1.41
2016-03-31,1.412
2016-04-30,1.418
2016-05-31,1.436
2016-06-30,1.454
2016-07-31,1.468
2016-08-31,1.48
2016-09-30,1.486
2016-10-31,1.488
2016-11-30,1.484
2016-12-31,1.478
2017-01-31,1.472
2017-02-28,1.468
2017-03-31,1.468
2017-04-30,1.47
2017-05-31,1.478
2017-06-30,1.49
2017-07-31,1.506
2017-08-31,1.518
2017-09-30,1.526
2017-10-31,1.528
2017-11-30,1.524
2017-12-31,1.516
2018-01-31,1.508
2018-02-28,1.502
2018-03-31,1.5
2018-04-30,1.5
2018-05-31,1.5
2018-06-30,1.5
2018-07-31,1.498
2018-08-31,1.498
2018-09-30,1.498
2018-10-31,1.5
2018-11-30,1.508
2018-12-31,1.518
2019-01-31,1.524
2019-02-28,1.526
2019-03-31,1.528
2019-04-30,1.532
