Date,Value
2013-01-31,126.0
2013-02-28,120.0
2013-03-31,90.0
2013-04-30,74.0
2013-05-31,71.0
2013-06-30,76.0
2013-07-31,83.0
2013-08-31,85.0
2013-09-30,90.0
2013-10-31,89.0
2013-11-30,92.0
2013-12-31,96.0
2014-01-31,104.0
2014-02-28,103.0
2014-03-31,84.0
2014-04-30,68.0
2014-05-31,63.0
2014-06-30,69.0
2014-07-31,75.0
2014-08-31,83.0
2014-09-30,88.0
2014-10-31,92.0
2014-11-30,94.0
2014-12-31,98.0
2015-01-31,102.0
2015-02-28,101.0
2015-03-31,80.0
2015-04-30,67.0
2015-05-31,58.0
2015-06-30,60.0
2015-07-31,71.0
2015-08-31,80.0
2015-09-30,90.0
2015-10-31,91.0
2015-11-30,96.0
2015-12-31,98.0
2016-01-31,104.0
2016-02-29,99.0
2016-03-31,70.0
2016-04-30,63.0
2016-05-31,64.0
2016-06-30,69.0
2016-07-31,78.0
2016-08-31,87.0
2016-09-30,89.0
2016-10-31,91.0
2016-11-30,94.0
2016-12-31,98.0
2017-01-31,102.0
2017-02-28,94.0
2017-03-31,71.0
2017-04-30,60.0
2017-05-31,56.0
2017-06-30,64.0
2017-07-31,71.0
2017-08-31,78.0
2017-09-30,82.0
2017-10-31,82.0
2017-11-30,84.0
2017-12-31,92.0
2018-01-31,99.0
2018-02-28,78.0
2018-03-31,51.0
2018-04-30,55.0
2018-05-31,53.0
2018-06-30,58.0
2018-07-31,66.0
2018-08-31,75.0
2018-09-30,81.0
2018-10-31,82.0
2018-11-30,84.0
2018-12-31,92.0
2019-01-31,98.0
2019-02-28,92.0
2019-03-31,66.0
2019-04-30,58.0
