Date,Value
2010-01-31,2075.0
2010-02-28,2000.0
2010-03-31,2300.0
2010-04-30,2500.0
2010-05-31,2400.0
2010-06-30,2695.0
2010-07-31,2500.0
2010-08-31,2350.0
2010-09-30,2350.0
2010-10-31,2500.0
2010-11-30,2500.0
2010-12-31,2800.0
2011-01-31,2500.0
2011-02-28,2495.0
2011-03-31,2550.0
2011-04-30,2700.0
2011-05-31,2710.0
2011-06-30,2700.0
2011-07-31,2700.0
2011-08-31,2700.0
2011-09-30,2600.0
2011-10-31,2500.0
2011-11-30,2500.0
2011-12-31,2500.0
2012-01-31,2400.0
2012-02-29,2550.0
2012-03-31,2500.0
2012-04-30,2530.0
2012-05-31,2600.0
2012-06-30,2595.0
2012-07-31,2600.0
2012-08-31,2595.0
2012-09-30,2600.0
2012-10-31,2600.0
2012-11-30,2625.0
2012-12-31,2750.0
2013-01-31,2730.0
2013-02-28,2750.0
2013-03-31,2750.0
2013-04-30,2800.0
2013-05-31,2850.0
2013-06-30,2800.0
2013-07-31,2695.0
2013-08-31,2700.0
2013-09-30,2700.0
2013-10-31,2600.0
2013-11-30,2650.0
2013-12-31,2750.0
2014-01-31,2750.0
2014-02-28,2750.0
2014-03-31,2695.0
2014-04-30,2650.0
2014-05-31,2800.0
2014-06-30,2850.0
2014-07-31,2750.0
2014-08-31,2700.0
2014-09-30,2650.0
2014-10-31,2600.0
2014-11-30,2600.0
2014-12-31,2650.0
2015-01-31,2775.0
2015-02-28,2775.0
2015-03-31,2800.0
2015-04-30,2900.0
2015-05-31,2800.0
2015-06-30,2850.0
2015-07-31,2900.0
2015-08-31,2900.0
2015-09-30,2900.0
2015-10-31,2800.0
2015-11-30,2845.0
2015-12-31,2900.0
2016-01-31,2950.0
2016-02-29,2880.0
2016-03-31,2950.0
2016-04-30,3000.0
2016-05-31,3000.0
2016-06-30,2900.0
2016-07-31,2800.0
2016-08-31,2700.0
2016-09-30,2795.0
2016-10-31,2800.0
2016-11-30,2750.0
2016-12-31,2699.0
2017-01-31,2700.0
2017-02-28,2750.0
2017-03-31,2850.0
2017-04-30,2950.0
2017-05-31,3000.0
2017-06-30,3000.0
2017-07-31,2950.0
2017-08-31,2890.0
2017-09-30,3150.0
2017-10-31,2900.0
2017-11-30,2905.0
2017-12-31,3000.0
2018-01-31,2900.0
2018-02-28,3000.0
2018-03-31,2950.0
2018-04-30,3000.0
2018-05-31,3084.5
2018-06-30,3000.0
2018-07-31,3000.0
2018-08-31,2950.0
2018-09-30,2900.0
2018-10-31,2845.0
2018-11-30,2850.0
2018-12-31,2950.0
2019-01-31,2900.0
2019-02-28,2950.0
2019-03-31,2995.0
2019-04-30,3199.0
