Date,Value
1996-04-30,105.0
1996-05-31,105.0
1996-06-30,105.0
1996-07-31,104.0
1996-08-31,104.0
1996-09-30,104.0
1996-10-31,104.0
1996-11-30,104.0
1996-12-31,104.0
1997-01-31,105.0
1997-02-28,105.0
1997-03-31,106.0
1997-04-30,106.0
1997-05-31,106.0
1997-06-30,106.0
1997-07-31,107.0
1997-08-31,107.0
1997-09-30,107.0
1997-10-31,108.0
1997-11-30,108.0
1997-12-31,108.0
1998-01-31,108.0
1998-02-28,109.0
1998-03-31,109.0
1998-04-30,110.0
1998-05-31,110.0
1998-06-30,111.0
1998-07-31,111.0
1998-08-31,112.0
1998-09-30,112.0
1998-10-31,113.0
1998-11-30,114.0
1998-12-31,114.0
1999-01-31,115.0
1999-02-28,116.0
1999-03-31,117.0
1999-04-30,118.0
1999-05-31,119.0
1999-06-30,120.0
1999-07-31,121.0
1999-08-31,121.0
1999-09-30,122.0
1999-10-31,123.0
1999-11-30,125.0
1999-12-31,126.0
2000-01-31,128.0
2000-02-29,129.0
2000-03-31,130.0
2000-04-30,132.0
2000-05-31,134.0
2000-06-30,135.0
2000-07-31,136.0
2000-08-31,137.0
2000-09-30,138.0
2000-10-31,139.0
2000-11-30,141.0
2000-12-31,143.0
2001-01-31,144.0
2001-02-28,146.0
2001-03-31,147.0
2001-04-30,148.0
2001-05-31,150.0
2001-06-30,151.0
2001-07-31,153.0
2001-08-31,154.0
2001-09-30,156.0
2001-10-31,158.0
2001-11-30,159.0
2001-12-31,161.0
2002-01-31,162.0
2002-02-28,164.0
2002-03-31,165.0
2002-04-30,167.0
2002-05-31,168.0
2002-06-30,170.0
2002-07-31,172.0
2002-08-31,173.0
2002-09-30,176.0
2002-10-31,178.0
2002-11-30,180.0
2002-12-31,183.0
2003-01-31,185.0
2003-02-28,188.0
2003-03-31,190.0
2003-04-30,192.0
2003-05-31,194.0
2003-06-30,197.0
2003-07-31,199.0
2003-08-31,201.0
2003-09-30,203.0
2003-10-31,205.0
2003-11-30,207.0
2003-12-31,209.0
2004-01-31,210.0
2004-02-29,213.0
2004-03-31,215.0
2004-04-30,217.0
2004-05-31,220.0
