Date,Value
2010-10-31,14.31
2010-11-30,14.28
2010-12-31,14.15
2011-01-31,14.11
2011-02-28,13.99
2011-03-31,13.89
2011-04-30,13.8
2011-05-31,13.72
2011-06-30,13.62
2011-07-31,13.56
2011-08-31,13.41
2011-09-30,13.38
2011-10-31,13.39
2011-11-30,13.42
2011-12-31,13.46
2012-01-31,13.49
2012-02-29,13.44
2012-03-31,13.35
2012-04-30,13.29
2012-05-31,13.15
2012-06-30,13.06
2012-07-31,13.03
2012-08-31,13.03
2012-09-30,13.07
2012-10-31,13.19
2012-11-30,13.25
2012-12-31,13.25
2013-01-31,13.26
2013-02-28,13.21
2013-03-31,13.21
2013-04-30,13.08
2013-05-31,12.96
2013-06-30,12.87
2013-07-31,12.85
2013-08-31,12.79
2013-09-30,12.79
2013-10-31,12.92
2013-11-30,13.09
2013-12-31,13.24
2014-01-31,13.4
2014-02-28,13.43
2014-03-31,13.46
2014-04-30,13.54
2014-05-31,13.51
2014-06-30,13.6
2014-07-31,13.32
2014-08-31,13.23
2014-09-30,13.19
2014-10-31,13.19
2014-11-30,13.25
2014-12-31,13.34
2015-01-31,13.26
2015-02-28,13.23
2015-03-31,13.25
2015-04-30,13.13
2015-05-31,12.99
2015-06-30,12.91
2015-07-31,12.74
2015-08-31,12.64
2015-09-30,12.69
2015-10-31,12.74
2015-11-30,12.83
2015-12-31,12.95
2016-01-31,12.92
2016-02-29,12.82
2016-03-31,12.84
2016-04-30,12.89
2016-05-31,12.69
2016-06-30,12.65
2016-07-31,12.65
2016-08-31,12.7
2016-09-30,12.78
2016-10-31,12.88
2016-11-30,13.0
2016-12-31,13.15
2017-01-31,13.23
2017-02-28,13.29
2017-03-31,13.38
2017-04-30,13.4
2017-05-31,13.47
2017-06-30,13.43
2017-07-31,13.41
2017-08-31,13.41
2017-09-30,13.45
2017-10-31,13.87
2017-11-30,13.87
2017-12-31,13.99
2018-01-31,14.05
2018-02-28,14.11
2018-03-31,14.12
2018-04-30,14.17
2018-05-31,14.29
2018-06-30,14.42
2018-07-31,14.51
2018-08-31,14.42
2018-09-30,14.31
2018-10-31,14.22
2018-11-30,14.2
2018-12-31,14.26
2019-01-31,14.25
2019-02-28,14.21
2019-03-31,14.16
2019-04-30,14.12
