Date,Value
1998-01-31,0.278
1998-02-28,0.348
1998-03-31,0.4629
1998-04-30,0.4486
1998-05-31,0.4449
1998-06-30,0.4293
1998-07-31,0.429
1998-08-31,0.4475
1998-09-30,0.5228
1998-10-31,0.53
1998-11-30,0.612
1998-12-31,0.5789
1999-01-31,0.6694
1999-02-28,0.6547
1999-03-31,0.7957
1999-04-30,0.824
1999-05-31,0.7916
1999-06-30,0.7199
1999-07-31,0.6588
1999-08-31,0.5495
1999-09-30,0.4742
1999-10-31,0.5473
1999-11-30,0.6747
1999-12-31,0.7521
2000-01-31,0.8372
2000-02-29,0.8206
2000-03-31,0.9321
2000-04-30,0.9391
2000-05-31,1.0385
2000-06-30,0.8722
2000-07-31,0.7982
2000-08-31,0.7512
2000-09-30,0.7872
2000-10-31,0.7964
2000-11-30,0.8893
2000-12-31,0.8646
2001-01-31,0.9136
2001-02-28,1.0143
2001-03-31,1.1395
2001-04-30,1.1676
2001-05-31,1.0575
2001-06-30,0.8318
2001-07-31,0.7306
2001-08-31,0.6847
2001-09-30,0.7722
2001-10-31,0.7525
2001-11-30,0.722
2001-12-31,0.7475
2002-01-31,0.7699
2002-02-28,0.8371
2002-03-31,0.7878
2002-04-30,0.8259
2002-05-31,0.7715
2002-06-30,0.7527
2002-07-31,0.6025
2002-08-31,0.5718
2002-09-30,0.5725
2002-10-31,0.6247
2002-11-30,0.5834
2002-12-31,0.6574
2003-01-31,0.6515
2003-02-28,0.6117
2003-03-31,0.5925
2003-04-30,0.6929
2003-05-31,0.6689
2003-06-30,0.6056
2003-07-31,0.5736
2003-08-31,0.5997
2003-09-30,0.5751
2003-10-31,0.5033
2003-11-30,0.493
2003-12-31,0.4929
2004-01-31,0.5147
2004-02-29,0.5583
2004-03-31,0.6012
2004-04-30,0.6745
2004-05-31,0.7476
2004-06-30,0.6746
2004-07-31,0.6319
2004-08-31,0.6359
2004-09-30,0.6531
2004-10-31,0.7355
2004-11-30,0.7249
2004-12-31,0.7265
2005-01-31,0.7742
2005-02-28,0.7527
2005-03-31,0.7285
2005-04-30,0.7154
2005-05-31,0.7575
2005-06-30,0.729
2005-07-31,0.5655
2005-08-31,0.5158
2005-09-30,0.4837
2005-10-31,0.4837
2005-11-30,0.4944
2005-12-31,0.5238
2006-01-31,0.5731
2006-02-28,0.6531
2006-03-31,0.7222
2006-04-30,0.7606
2006-05-31,0.687
2006-06-30,0.6603
2006-07-31,0.5945
2006-08-31,0.5637
2006-09-30,0.531
2006-10-31,0.5988
2006-11-30,0.6148
2006-12-31,0.6119
2007-01-31,0.5871
2007-02-28,0.634
2007-03-31,0.6544
2007-04-30,0.7103
2007-05-31,0.7684
2007-06-30,0.7651
2007-07-31,0.7465
2007-08-31,0.718
2007-09-30,0.7279
2007-10-31,0.8543
2007-11-30,0.8528
2007-12-31,0.9276
2008-01-31,1.1736
2008-02-29,1.3709
2008-03-31,1.6271
2008-04-30,1.6263
2008-05-31,1.589
2008-06-30,1.6376
2008-07-31,1.603
2008-08-31,1.7344
2008-09-30,1.8273
2008-10-31,2.1496
2008-11-30,2.7294
2008-12-31,3.0341
2009-01-31,3.2778
2009-02-28,3.8308
2009-03-31,3.9925
2009-04-30,4.4678
2009-05-31,4.53
2009-06-30,4.0048
2009-07-31,3.5086
2009-08-31,3.2504
2009-09-30,3.1995
2009-10-31,3.4124
2009-11-30,3.4797
2009-12-31,3.3973
2010-01-31,3.5487
2010-02-28,4.0922
2010-03-31,4.3564
2010-04-30,4.4117
2010-05-31,4.1146
2010-06-30,3.5284
2010-07-31,3.1277
2010-08-31,3.2342
2010-09-30,3.3699
2010-10-31,3.6031
2010-11-30,3.7156
2010-12-31,3.5346
2011-01-31,3.6628
2011-02-28,3.9977
2011-03-31,4.4385
2011-04-30,4.5291
2011-05-31,4.0497
2011-06-30,3.3522
2011-07-31,2.6288
2011-08-31,2.2693
2011-09-30,2.2348
2011-10-31,2.3148
2011-11-30,2.2333
2011-12-31,2.1398
2012-01-31,2.0503
2012-02-29,2.0957
2012-03-31,2.0698
2012-04-30,1.7704
2012-05-31,1.6872
2012-06-30,1.6417
2012-07-31,1.5074
2012-08-31,1.2846
2012-09-30,1.1722
2012-10-31,1.2335
2012-11-30,1.1948
2012-12-31,1.2357
2013-01-31,1.2854
2013-02-28,1.4008
2013-03-31,1.5486
2013-04-30,1.5491
2013-05-31,1.2242
2013-06-30,1.2149
2013-07-31,0.9926
2013-08-31,0.9071
2013-09-30,0.9148
2013-10-31,1.011
2013-11-30,1.3376
2013-12-31,1.4463
2014-01-31,1.6144
2014-02-28,1.8885
2014-03-31,2.0978
2014-04-30,2.2576
2014-05-31,2.2442
2014-06-30,2.1197
2014-07-31,1.7924
2014-08-31,1.6348
2014-09-30,1.6779
2014-10-31,1.8186
2014-11-30,1.9255
2014-12-31,2.1755
2015-01-31,2.3127
2015-02-28,2.5736
2015-03-31,3.0469
2015-04-30,3.3539
2015-05-31,3.327
2015-06-30,3.0063
2015-07-31,2.8341
