Date,Value
1998-01-31,4.0618
1998-02-28,4.0878
1998-03-31,4.1251
1998-04-30,4.1314
1998-05-31,4.1278
1998-06-30,4.1917
1998-07-31,4.2872
1998-08-31,4.381
1998-09-30,4.4322
1998-10-31,4.4931
1998-11-30,4.532
1998-12-31,4.5984
1999-01-31,4.6364
1999-02-28,4.7022
1999-03-31,4.7886
1999-04-30,4.8488
1999-05-31,4.901
1999-06-30,4.9203
1999-07-31,4.9125
1999-08-31,4.944
1999-09-30,4.9762
1999-10-31,4.989
1999-11-30,5.0415
1999-12-31,5.0298
2000-01-31,5.06
2000-02-29,5.1026
2000-03-31,5.1362
2000-04-30,5.1476
2000-05-31,5.2062
2000-06-30,5.2346
2000-07-31,5.1978
2000-08-31,5.1997
2000-09-30,5.1501
2000-10-31,5.1292
2000-11-30,5.0917
2000-12-31,5.0985
2001-01-31,5.138
2001-02-28,5.1014
2001-03-31,5.0436
2001-04-30,4.987
2001-05-31,4.9257
2001-06-30,4.8731
2001-07-31,4.8938
2001-08-31,4.8963
2001-09-30,4.8142
2001-10-31,4.7581
2001-11-30,4.7557
2001-12-31,4.7039
2002-01-31,4.7003
2002-02-28,4.6745
2002-03-31,4.6849
2002-04-30,4.787
2002-05-31,4.8333
2002-06-30,4.863
2002-07-31,4.9292
2002-08-31,4.9382
2002-09-30,5.0104
2002-10-31,5.0826
2002-11-30,5.0537
2002-12-31,5.0809
2003-01-31,5.0825
2003-02-28,5.0773
2003-03-31,5.0675
2003-04-30,5.0063
2003-05-31,4.9588
2003-06-30,4.8887
2003-07-31,4.8583
2003-08-31,4.7649
2003-09-30,4.8344
2003-10-31,4.8671
2003-11-30,4.9422
2003-12-31,4.9941
2004-01-31,5.1733
2004-02-29,5.4008
2004-03-31,5.6831
2004-04-30,5.9144
2004-05-31,6.1113
2004-06-30,6.3697
2004-07-31,6.7367
2004-08-31,6.9308
2004-09-30,7.0424
2004-10-31,7.1283
2004-11-30,7.2536
2004-12-31,7.3454
2005-01-31,7.3386
2005-02-28,7.3003
2005-03-31,7.2253
2005-04-30,7.1928
2005-05-31,7.1585
2005-06-30,7.0913
2005-07-31,6.8118
2005-08-31,6.8998
2005-09-30,6.9439
2005-10-31,6.9415
2005-11-30,6.9281
2005-12-31,6.9532
2006-01-31,6.9083
2006-02-28,6.8484
2006-03-31,6.791
2006-04-30,6.6629
2006-05-31,6.6391
2006-06-30,6.573
2006-07-31,6.5374
2006-08-31,6.3927
2006-09-30,6.2391
2006-10-31,6.1727
2006-11-30,6.0906
2006-12-31,5.9777
2007-01-31,5.9398
2007-02-28,5.9017
2007-03-31,5.8165
2007-04-30,5.7755
2007-05-31,5.6832
2007-06-30,5.5809
2007-07-31,5.4771
2007-08-31,5.4066
2007-09-30,5.2989
2007-10-31,5.1928
2007-11-30,5.0697
2007-12-31,4.9445
2008-01-31,4.7691
2008-02-29,4.6372
2008-03-31,4.5011
2008-04-30,4.4076
2008-05-31,4.2724
2008-06-30,4.1765
2008-07-31,4.0792
2008-08-31,3.9247
2008-09-30,3.8747
2008-10-31,3.7958
2008-11-30,3.7124
2008-12-31,3.6484
2009-01-31,3.5311
2009-02-28,3.4516
2009-03-31,3.3814
2009-04-30,3.284
2009-05-31,3.2034
2009-06-30,3.1287
2009-07-31,3.0626
2009-08-31,3.037
2009-09-30,3.0197
2009-10-31,3.013
2009-11-30,3.0755
2009-12-31,3.1581
2010-01-31,3.2139
2010-02-28,3.2444
2010-03-31,3.306
2010-04-30,3.3624
2010-05-31,3.4457
2010-06-30,3.5307
2010-07-31,3.6173
2010-08-31,3.5671
2010-09-30,3.5118
2010-10-31,3.5551
2010-11-30,3.4562
2010-12-31,3.3335
2011-01-31,3.3076
2011-02-28,3.3114
2011-03-31,3.287
2011-04-30,3.2542
2011-05-31,3.2217
2011-06-30,3.1587
2011-07-31,3.0483
2011-08-31,3.0977
2011-09-30,3.0984
2011-10-31,3.1041
2011-11-30,3.0984
2011-12-31,3.103
2012-01-31,3.1368
2012-02-29,3.132
2012-03-31,3.1364
2012-04-30,3.3531
2012-05-31,3.3902
2012-06-30,3.4091
2012-07-31,3.446
2012-08-31,3.4821
2012-09-30,3.4957
2012-10-31,3.534
2012-11-30,3.5532
2012-12-31,3.5813
2013-01-31,3.626
2013-02-28,3.6515
2013-03-31,3.6678
2013-04-30,3.6836
2013-05-31,3.7241
2013-06-30,3.7431
2013-07-31,3.8043
2013-08-31,3.9025
2013-09-30,4.0238
2013-10-31,4.11
2013-11-30,4.1813
2013-12-31,4.2535
2014-01-31,4.263
2014-02-28,4.2591
2014-03-31,4.2736
2014-04-30,4.2796
2014-05-31,4.2567
2014-06-30,4.2753
2014-07-31,4.2747
2014-08-31,4.2648
2014-09-30,4.2368
2014-10-31,4.2287
2014-11-30,4.2092
2014-12-31,4.2247
2015-01-31,4.2209
2015-02-28,4.2552
2015-03-31,4.282
2015-04-30,4.3078
2015-05-31,4.2957
2015-06-30,4.3507
2015-07-31,4.3768
2015-08-31,4.4001
2015-09-30,4.442
2015-10-31,4.4569
2015-11-30,4.4947
2015-12-31,4.4993
2016-01-31,4.5194
2016-02-29,4.5717
2016-03-31,4.6292
2016-04-30,4.6332
2016-05-31,4.6115
2016-06-30,4.4895
2016-07-31,4.2831
2016-08-31,4.1202
2016-09-30,3.944
2016-10-31,3.7534
2016-11-30,3.6243
2016-12-31,3.4968
2017-01-31,3.4343
2017-02-28,3.311
2017-03-31,3.2055
2017-04-30,3.1237
2017-05-31,3.0818
2017-06-30,3.0624
2017-07-31,3.0789
2017-08-31,2.9498
