Date,Value
2011-11-30,2082.0
2011-12-31,2066.0
2012-01-31,2046.0
2012-02-29,2022.0
2012-03-31,2011.0
2012-04-30,2009.0
2012-05-31,2022.0
2012-06-30,2038.0
2012-07-31,2060.0
2012-08-31,2074.0
2012-09-30,2081.0
2012-10-31,2069.0
2012-11-30,2053.0
2012-12-31,2040.0
2013-01-31,2037.0
2013-02-28,2040.0
2013-03-31,2045.0
2013-04-30,2060.0
2013-05-31,2088.0
2013-06-30,2129.0
2013-07-31,2170.0
2013-08-31,2211.0
2013-09-30,2237.0
2013-10-31,2246.0
2013-11-30,2234.0
2013-12-31,2212.0
2014-01-31,2193.0
2014-02-28,2179.0
2014-03-31,2172.0
2014-04-30,2175.0
2014-05-31,2182.0
2014-06-30,2188.0
2014-07-31,2210.0
2014-08-31,2245.0
2014-09-30,2284.0
2014-10-31,2301.0
2014-11-30,2303.0
2014-12-31,2302.0
2015-01-31,2304.0
2015-02-28,2317.0
2015-03-31,2331.0
2015-04-30,2345.0
2015-05-31,2352.0
2015-06-30,2356.0
2015-07-31,2362.0
2015-08-31,2379.0
2015-09-30,2397.0
2015-10-31,2410.0
2015-11-30,2410.0
2015-12-31,2411.0
2016-01-31,2413.0
2016-02-29,2420.0
2016-03-31,2429.0
2016-04-30,2437.0
2016-05-31,2442.0
2016-06-30,2445.0
2016-07-31,2450.0
2016-08-31,2456.0
2016-09-30,2462.0
2016-10-31,2461.0
2016-11-30,2455.0
2016-12-31,2445.0
2017-01-31,2434.0
2017-02-28,2424.0
2017-03-31,2414.0
2017-04-30,2407.0
2017-05-31,2406.0
2017-06-30,2416.0
2017-07-31,2433.0
2017-08-31,2452.0
2017-09-30,2464.0
2017-10-31,2477.0
2017-11-30,2480.0
2017-12-31,2475.0
2018-01-31,2459.0
2018-02-28,2446.0
2018-03-31,2440.0
2018-04-30,2440.0
2018-05-31,2440.0
2018-06-30,2440.0
2018-07-31,2440.0
2018-08-31,2440.0
2018-09-30,2440.0
2018-10-31,2449.0
2018-11-30,2463.0
2018-12-31,2478.0
2019-01-31,2484.0
2019-02-28,2486.0
2019-03-31,2486.0
2019-04-30,2486.0
