Date,Value
1997-02-28,37.8
1997-03-31,28.85
1997-04-30,21.82
1997-05-31,20.49
1997-06-30,22.86
1997-07-31,34.1
1997-08-31,27.29
1997-09-30,29.29
1997-10-31,22.34
1997-11-30,26.11
1997-12-31,20.64
1998-01-31,20.04
1998-02-28,33.58
1998-03-31,30.1
1998-04-30,28.77
1998-05-31,30.47
1998-06-30,27.07
1998-07-31,25.0
1998-08-31,28.55
1998-09-30,32.69
1998-10-31,30.1
1998-11-30,28.48
1998-12-31,26.48
1999-01-31,21.8
1999-02-28,21.58
1999-03-31,21.95
1999-04-30,27.2
1999-05-31,26.9
1999-06-30,27.86
1999-07-31,27.79
1999-08-31,19.73
1999-09-30,19.81
1999-10-31,16.48
1999-11-30,25.35
1999-12-31,25.72
2000-01-31,7.76
2000-02-29,8.43
2000-03-31,9.61
2000-04-30,9.98
2000-05-31,7.76
2000-06-30,9.24
2000-07-31,10.72
2000-08-31,9.83
2000-09-30,10.35
2000-10-31,11.83
2000-11-30,9.39
2000-12-31,9.68
2001-01-31,15.82
2001-02-28,9.68
2001-03-31,9.39
2001-04-30,12.49
2001-05-31,6.95
2001-06-30,7.1
2001-07-31,5.54
2001-08-31,4.88
2001-09-30,8.43
2001-10-31,5.62
2001-11-30,5.76
2001-12-31,6.65
2002-01-31,17.96
2002-02-28,22.62
2002-03-31,21.43
2002-04-30,19.88
2002-05-31,20.99
2002-06-30,12.79
2002-07-31,12.64
2002-08-31,4.3
2002-09-30,2.45
2002-10-31,1.26
2002-11-30,1.11
2002-12-31,0.89
2003-01-31,0.8
2003-02-28,0.66
2003-03-31,0.73
2003-04-30,0.73
2003-05-31,0.59
2003-06-30,0.44
2003-07-31,0.44
2003-08-31,0.44
2003-09-30,0.29
2003-10-31,0.37
2003-11-30,0.44
2003-12-31,0.44
2004-01-31,0.78
2004-02-29,0.56
2004-03-31,0.28
2004-04-30,0.78
2004-05-31,1.13
2004-06-30,1.13
2004-07-31,1.9
2004-08-31,2.54
2004-09-30,2.75
2004-10-31,3.81
2004-11-30,4.16
2004-12-31,4.09
2005-01-31,4.15
2005-02-28,1.83
2005-03-31,1.27
2005-04-30,1.34
2005-05-31,2.46
2005-06-30,2.95
2005-07-31,3.8
2005-08-31,3.94
2005-09-30,3.66
2005-10-31,0.73
2005-11-30,0.73
2005-12-31,0.76
2006-01-31,0.81
2006-02-28,0.76
2006-03-31,0.81
2006-04-30,0.87
2006-05-31,0.92
2006-06-30,1.51
2006-07-31,2.11
2006-08-31,2.81
2006-09-30,3.24
2006-10-31,6.17
2006-11-30,8.92
2006-12-31,16.39
2007-01-31,24.34
2007-02-28,29.26
2007-03-31,35.97
2007-04-30,38.02
2007-05-31,38.99
2007-06-30,44.02
2007-07-31,49.16
2007-08-31,54.19
2007-09-30,54.95
2007-10-31,54.03
2007-11-30,56.63
2007-12-31,55.6
2008-01-31,50.78
2008-02-29,56.03
2008-03-31,58.09
2008-04-30,64.09
2008-05-31,69.17
2008-06-30,75.55
2008-07-31,81.34
2008-08-31,84.59
2008-09-30,88.64
