Date,Value
2010-09-30,30000.0
2010-10-31,45000.0
2010-11-30,27500.0
2010-12-31,20450.0
2011-01-31,25000.0
2011-02-28,18000.0
2011-03-31,20000.0
2011-04-30,30450.0
2011-05-31,28000.0
2011-06-30,26000.0
2011-07-31,30900.0
2011-08-31,20000.0
2011-09-30,25000.0
2011-10-31,20000.0
2011-11-30,20000.0
2011-12-31,14000.0
2012-01-31,14000.0
2012-02-29,40000.0
2012-03-31,29000.0
2012-04-30,20000.0
2012-05-31,39600.0
2012-06-30,20500.0
2012-07-31,10000.0
2012-08-31,27500.0
2012-09-30,30000.0
2012-10-31,30000.0
2012-11-30,20000.0
2012-12-31,7200.0
2013-01-31,30000.0
2013-02-28,35450.0
2013-03-31,30000.0
2013-04-30,39100.0
2013-05-31,31000.0
2013-06-30,54500.0
2013-07-31,30000.0
2013-08-31,20000.0
2013-09-30,26000.0
2013-10-31,20500.0
2013-11-30,23001.0
2013-12-31,40000.0
2014-01-31,11000.0
2014-02-28,62500.0
2014-03-31,50000.0
2014-04-30,30000.0
2014-05-31,30000.0
2014-06-30,38000.0
2014-07-31,20000.0
2014-08-31,40000.0
2014-09-30,25000.0
2014-10-31,21000.0
2014-11-30,20000.0
2014-12-31,20000.0
2015-01-31,49500.0
2015-02-28,30000.0
2015-03-31,35500.0
2015-04-30,30000.0
2015-05-31,33000.0
2015-06-30,40000.0
2015-07-31,35000.0
2015-08-31,17500.0
2015-09-30,27550.0
2015-10-31,24050.0
2015-11-30,30000.0
2015-12-31,26000.0
2016-01-31,36000.0
2016-02-29,20250.0
2016-03-31,50000.0
2016-04-30,50000.0
2016-05-31,30000.0
2016-06-30,25000.0
2016-07-31,30800.0
2016-08-31,30000.0
2016-09-30,42500.0
2016-10-31,50000.0
2016-11-30,49100.0
2016-12-31,37050.0
2017-01-31,17500.0
2017-02-28,27499.5
2017-03-31,50999.5
2017-04-30,21000.0
2017-05-31,27550.0
2017-06-30,35000.0
2017-07-31,50000.0
2017-08-31,59000.0
2017-09-30,80000.0
2017-10-31,50000.0
2017-11-30,85000.0
2017-12-31,22500.0
2018-01-31,50000.0
2018-02-28,47000.5
2018-03-31,39550.0
2018-04-30,35000.0
2018-05-31,49000.0
2018-06-30,47000.0
2018-07-31,51000.0
2018-08-31,26000.0
2018-09-30,62000.0
2018-10-31,73000.0
2018-11-30,26000.0
2018-12-31,20000.0
2019-01-31,27000.0
2019-02-28,41000.0
2019-03-31,50000.0
2019-04-30,59100.0
