,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper
3217,2014-06-18,580498.7100485909,1846561.6800677911,1846561.7017753462,580498.6992281254,580498.7209055302
3218,2014-06-19,580680.5046460058,1579620.1645245324,1579620.1862177397,580680.4938223573,580680.5155086793
3219,2014-06-20,580862.2992434207,1279626.2556957484,1279626.2773969148,580862.2884165893,580862.3101146007
3220,2014-06-21,581044.0938408355,959319.8290848455,959319.8508659864,581044.0830108209,581044.104720522
3221,2014-06-22,581225.8884382502,632252.7716137675,632252.7934157223,581225.8776050525,581225.8993264431
3222,2014-06-23,581407.6830356653,312368.5722327886,312368.59399357985,581407.6721992845,581407.6939323643
3223,2014-06-24,581589.47763308,13571.33826300872,13571.359988623808,581589.4667935163,581589.4885382855
3224,2014-06-25,581771.2722304948,-250703.21483426628,-250703.19295497763,581771.2613877481,581771.2831416097
3225,2014-06-26,581953.0668279098,-467902.4136435492,-467902.3918390072,581953.0559819798,581953.077742232
3226,2014-06-27,582134.8614253246,-626745.0504516659,-626745.02871439,582134.8505762116,582134.872342854
3227,2014-06-28,582316.6560227394,-717572.5612401328,-717572.5393071921,582316.6451704433,582316.6669434762
3228,2014-06-29,582498.4506201543,-732653.098242786,-732653.0764605124,582498.4397646752,582498.4615440986
3229,2014-06-30,582680.2452175692,-666430.0660893318,-666430.0441854425,582680.234358907,582680.2561447207
3230,2014-07-01,582862.039814984,-515708.3358595356,-515708.3140137014,582862.0289531386,582862.0507453427
3231,2014-07-02,583043.8344123989,-279773.1886532539,-279773.16678463924,583043.8235473706,583043.8453459651
3232,2014-07-03,583225.6290098137,39561.01962593575,39561.04147930764,583225.6181416021,583225.6399465873
3233,2014-07-04,583407.4236072286,437973.4612256759,437973.48313610395,583407.412735834,583407.4345472093
3234,2014-07-05,583589.2182046433,908729.684345497,908729.7062574156,583589.2073300658,583589.2291478314
3235,2014-07-06,583771.0128020582,1442841.7095020008,1442841.7313683287,583771.0019242977,583771.0237484538
3236,2014-07-07,583952.807399473,2029290.5276125332,2029290.5495116052,583952.796517377,583952.8183490761
3237,2014-07-08,584134.6019968877,2655304.4497547927,2655304.4716894925,584134.5911057258,584134.612949698
3238,2014-07-09,584316.3965943028,3306685.265673547,3306685.2876380794,584316.3856940744,584316.4075503204
3239,2014-07-10,584498.1911917175,3968172.9239324373,3968172.945886475,584498.1802824232,584498.2021509425
3240,2014-07-11,584679.9857891323,4623838.474397055,4623838.496322133,584679.9748707718,584679.9967515647
3241,2014-07-12,584861.7803865473,5257494.345186258,5257494.367270764,584861.7694591207,584861.7913521869
3242,2014-07-13,585043.5749839621,5853110.680403831,5853110.702376641,585043.5640474692,585043.5859528091
3243,2014-07-14,585225.3695813769,6395226.425083452,6395226.447078824,585225.358635818,585225.3805534313
3244,2014-07-15,585407.1641787919,6869344.142652936,6869344.164649594,585407.1532241666,585407.1751540536
3245,2014-07-16,585588.9587762067,7262298.132933991,7262298.154831776,585588.9478125155,585588.9697546758
3246,2014-07-17,585770.7533736215,7562586.299753621,7562586.321629671,585770.742400864,585770.7643552978
3247,2014-07-18,585952.5479710364,7760657.343742631,7760657.36577041,585952.5369892129,585952.5589559202
3248,2014-07-19,586134.3425684513,7849146.201551789,7849146.223548161,586134.3315775614,586134.3535565423
