Date,Value
1996-04-30,130.0
1996-05-31,130.0
1996-06-30,131.0
1996-07-31,131.0
1996-08-31,132.0
1996-09-30,133.0
1996-10-31,133.0
1996-11-30,134.0
1996-12-31,135.0
1997-01-31,137.0
1997-02-28,138.0
1997-03-31,139.0
1997-04-30,140.0
1997-05-31,141.0
1997-06-30,143.0
1997-07-31,144.0
1997-08-31,146.0
1997-09-30,148.0
1997-10-31,150.0
1997-11-30,152.0
1997-12-31,155.0
1998-01-31,157.0
1998-02-28,160.0
1998-03-31,162.0
1998-04-30,165.0
1998-05-31,167.0
1998-06-30,170.0
1998-07-31,172.0
1998-08-31,175.0
1998-09-30,177.0
1998-10-31,180.0
1998-11-30,183.0
1998-12-31,186.0
1999-01-31,188.0
1999-02-28,191.0
1999-03-31,193.0
1999-04-30,196.0
1999-05-31,198.0
1999-06-30,200.0
1999-07-31,202.0
1999-08-31,204.0
1999-09-30,206.0
1999-10-31,209.0
1999-11-30,211.0
1999-12-31,214.0
2000-01-31,217.0
2000-02-29,220.0
2000-03-31,222.0
2000-04-30,225.0
2000-05-31,228.0
2000-06-30,230.0
2000-07-31,232.0
2000-08-31,235.0
2000-09-30,238.0
2000-10-31,241.0
2000-11-30,244.0
2000-12-31,247.0
2001-01-31,251.0
2001-02-28,254.0
2001-03-31,257.0
2001-04-30,260.0
2001-05-31,263.0
2001-06-30,265.0
2001-07-31,268.0
2001-08-31,270.0
2001-09-30,273.0
2001-10-31,276.0
2001-11-30,278.0
2001-12-31,281.0
2002-01-31,285.0
2002-02-28,287.0
2002-03-31,290.0
2002-04-30,293.0
2002-05-31,296.0
2002-06-30,299.0
2002-07-31,301.0
2002-08-31,305.0
2002-09-30,308.0
2002-10-31,311.0
2002-11-30,315.0
2002-12-31,319.0
2003-01-31,323.0
2003-02-28,327.0
2003-03-31,331.0
2003-04-30,333.0
2003-05-31,337.0
2003-06-30,342.0
2003-07-31,347.0
2003-08-31,352.0
2003-09-30,358.0
2003-10-31,364.0
2003-11-30,371.0
2003-12-31,378.0
2004-01-31,386.0
2004-02-29,394.0
2004-03-31,404.0
2004-04-30,414.0
2004-05-31,424.0
2004-06-30,435.0
2004-07-31,444.0
2004-08-31,452.0
2004-09-30,459.0
2004-10-31,464.0
2004-11-30,468.0
2004-12-31,472.0
2005-01-31,476.0
2005-02-28,481.0
2005-03-31,488.0
2005-04-30,496.0
2005-05-31,504.0
2005-06-30,513.0
2005-07-31,521.0
2005-08-31,529.0
2005-09-30,537.0
2005-10-31,545.0
2005-11-30,551.0
2005-12-31,557.0
2006-01-31,563.0
2006-02-28,567.0
2006-03-31,570.0
2006-04-30,573.0
2006-05-31,577.0
2006-06-30,580.0
2006-07-31,583.0
2006-08-31,585.0
2006-09-30,586.0
2006-10-31,587.0
2006-11-30,587.0
2006-12-31,587.0
2007-01-31,587.0
2007-02-28,588.0
2007-03-31,587.0
2007-04-30,587.0
2007-05-31,586.0
2007-06-30,583.0
2007-07-31,579.0
2007-08-31,574.0
2007-09-30,569.0
2007-10-31,564.0
2007-11-30,559.0
2007-12-31,554.0
2008-01-31,549.0
2008-02-29,542.0
2008-03-31,535.0
2008-04-30,526.0
2008-05-31,517.0
2008-06-30,509.0
2008-07-31,504.0
2008-08-31,500.0
2008-09-30,498.0
2008-10-31,497.0
2008-11-30,495.0
2008-12-31,493.0
2009-01-31,492.0
2009-02-28,491.0
2009-03-31,488.0
2009-04-30,486.0
2009-05-31,484.0
2009-06-30,482.0
2009-07-31,481.0
2009-08-31,483.0
2009-09-30,484.0
2009-10-31,486.0
2009-11-30,487.0
2009-12-31,489.0
2010-01-31,489.0
2010-02-28,489.0
2010-03-31,487.0
2010-04-30,484.0
2010-05-31,481.0
2010-06-30,478.0
2010-07-31,472.0
2010-08-31,468.0
2010-09-30,464.0
2010-10-31,462.0
2010-11-30,460.0
2010-12-31,458.0
2011-01-31,456.0
2011-02-28,455.0
2011-03-31,456.0
2011-04-30,456.0
2011-05-31,455.0
2011-06-30,455.0
2011-07-31,455.0
2011-08-31,453.0
2011-09-30,449.0
2011-10-31,446.0
2011-11-30,445.0
2011-12-31,444.0
2012-01-31,444.0
2012-02-29,444.0
2012-03-31,445.0
2012-04-30,449.0
2012-05-31,454.0
2012-06-30,458.0
2012-07-31,462.0
2012-08-31,468.0
2012-09-30,475.0
2012-10-31,483.0
2012-11-30,491.0
2012-12-31,498.0
2013-01-31,505.0
2013-02-28,514.0
2013-03-31,525.0
2013-04-30,537.0
2013-05-31,548.0
2013-06-30,560.0
2013-07-31,573.0
2013-08-31,585.0
2013-09-30,594.0
2013-10-31,598.0
2013-11-30,603.0
2013-12-31,608.0
2014-01-31,611.0
2014-02-28,613.0
2014-03-31,616.0
2014-04-30,618.0
2014-05-31,621.0
2014-06-30,625.0
2014-07-31,629.0
2014-08-31,631.0
2014-09-30,633.0
2014-10-31,634.0
2014-11-30,634.0
2014-12-31,636.0
2015-01-31,643.0
2015-02-28,649.0
2015-03-31,655.0
2015-04-30,660.0
2015-05-31,667.0
2015-06-30,672.0
2015-07-31,677.0
2015-08-31,683.0
2015-09-30,689.0
2015-10-31,697.0
2015-11-30,705.0
2015-12-31,712.0
2016-01-31,718.0
2016-02-29,722.0
2016-03-31,729.0
2016-04-30,736.0
2016-05-31,742.0
2016-06-30,745.0
2016-07-31,749.0
2016-08-31,752.0
2016-09-30,756.0
2016-10-31,758.0
2016-11-30,762.0
2016-12-31,767.0
2017-01-31,773.0
2017-02-28,777.0
2017-03-31,780.0
2017-04-30,782.0
2017-05-31,783.0
2017-06-30,783.0
2017-07-31,783.0
2017-08-31,787.0
2017-09-30,794.0
2017-10-31,801.0
2017-11-30,804.0
2017-12-31,807.0
2018-01-31,810.0
2018-02-28,813.0
2018-03-31,814.0
2018-04-30,814.0
2018-05-31,817.0
2018-06-30,820.0
2018-07-31,822.0
2018-08-31,822.0
2018-09-30,825.0
2018-10-31,829.0
2018-11-30,831.0
2018-12-31,831.0
2019-01-31,831.0
2019-02-28,831.0
2019-03-31,829.0
2019-04-30,826.0
