Date,Value
1996-04-30,116000.0
1996-05-31,121294.1176
1996-06-30,113650.0
1996-07-31,118250.0
1996-10-31,129000.0
1996-11-30,115177.0588
1996-12-31,108775.35
1997-03-31,119000.0
1997-06-30,115538.4615
1997-07-31,126764.7059
1997-08-31,123550.0
1997-10-31,118462.3077
1997-12-31,113000.2308
1998-02-28,125730.7692
1998-06-30,105001.0
1998-08-31,112692.5385
1998-09-30,119705.8824
1999-01-31,137000.0
1999-03-31,120461.5385
1999-04-30,117559.4118
1999-05-31,118475.85
1999-07-31,127462.5385
1999-08-31,127059.2353
1999-09-30,129750.15
1999-11-30,132230.7692
1999-12-31,135529.4118
2000-03-31,145000.0
2000-04-30,137647.0588
2000-05-31,137625.0
2000-06-30,138025.0
2000-07-31,124500.5
2000-08-31,125350.85
2000-09-30,130200.5
2000-10-31,134550.15
2000-11-30,138500.0
2000-12-31,130950.0
2001-01-31,131500.0
2001-04-30,139000.0
2001-06-30,144385.3846
2001-07-31,141000.4118
2001-08-31,139525.15
2001-10-31,142846.9231
2001-11-30,147529.8235
2001-12-31,148600.65
2002-01-31,151150.35
2002-03-31,146846.1538
2002-04-30,131471.1765
2002-05-31,134450.35
2002-06-30,143550.15
2002-07-31,157375.5
2002-10-31,167001.0
2002-11-30,165823.9412
2002-12-31,171050.15
2003-01-31,174025.0
2003-03-31,170385.3846
2003-05-31,168231.0
2003-06-30,178882.9412
2003-07-31,182975.85
2003-08-31,202726.5
2003-09-30,203250.85
2003-10-31,197950.8
2003-11-30,206750.35
2003-12-31,200800.15
2004-01-31,217000.0
2004-02-29,215751.0
2004-04-30,233078.9231
2004-05-31,242943.1765
2004-06-30,249251.0
2004-07-31,253500.3
2004-08-31,254000.0
2004-09-30,264300.0
2004-10-31,291701.5
2004-11-30,293002.05
2004-12-31,293801.15
2005-01-31,311201.8
2005-03-31,347923.7692
2005-04-30,344178.2353
2005-05-31,346251.05
2005-06-30,368200.45
2005-08-31,376923.0769
2005-09-30,365354.7059
2005-10-31,379452.55
2005-11-30,389753.0
2005-12-31,398503.5
2006-01-31,394951.85
2006-03-31,393846.1538
2006-04-30,397943.5294
2006-05-31,427253.4
2006-06-30,437104.0
2006-07-31,445652.0
2006-08-31,470250.6
2006-09-30,476250.0
2006-10-31,481600.0
2006-11-30,465402.0
2006-12-31,467753.4
2007-01-31,468254.0
2007-03-31,446693.2308
2007-04-30,464708.2353
2007-05-31,474201.4
2010-06-30,239002.0
2011-11-30,215502.0
