Date,Value
1998-01-31,7.8602
1998-02-28,7.8224
1998-03-31,7.8981
1998-04-30,7.9233
1998-05-31,7.671
1998-06-30,7.9485
1998-07-31,8.0116
1998-08-31,7.8728
1998-09-30,8.0116
1998-10-31,7.7719
1998-11-30,7.734
1998-12-31,7.5953
1999-01-31,7.6331
1999-02-28,7.6079
1999-03-31,7.6205
1999-04-30,7.6205
1999-05-31,7.6962
1999-06-30,7.6079
1999-07-31,7.6583
1999-08-31,7.835
1999-09-30,7.8224
1999-10-31,7.9359
1999-11-30,8.0242
1999-12-31,8.2009
2000-01-31,8.2135
2000-02-29,8.3144
2000-03-31,8.3649
2000-04-30,8.2766
2000-05-31,8.3775
2000-06-30,8.3523
2000-07-31,8.1252
2000-08-31,8.7686
2000-09-30,8.6424
2000-10-31,8.5667
2000-11-30,8.5415
2000-12-31,8.3775
2001-01-31,8.6172
2001-02-28,8.5794
2001-03-31,8.3775
2001-04-30,8.1756
2001-05-31,8.0999
2001-06-30,7.9864
2001-07-31,7.8981
2001-08-31,7.2925
2001-09-30,7.2546
2001-10-31,7.1915
2001-11-30,7.0654
2001-12-31,7.1663
2002-01-31,7.0149
2002-02-28,7.1284
2002-03-31,7.5574
2002-04-30,8.163
2002-05-31,8.3523
2002-06-30,8.3901
2002-07-31,8.5037
2002-08-31,8.5794
2002-09-30,8.756
2002-10-31,9.185
2002-11-30,9.349
2002-12-31,9.3111
2003-01-31,9.2102
2003-02-28,9.185
2003-03-31,8.8948
2003-04-30,8.5163
2003-05-31,8.4153
2003-06-30,8.3649
2003-07-31,8.4658
2003-08-31,8.5163
2003-09-30,8.6424
2003-10-31,8.4532
2003-11-30,8.6551
2003-12-31,8.7055
2004-01-31,8.92
2004-02-29,8.8695
2004-03-31,9.084
2004-04-30,9.084
2004-05-31,8.9705
2004-06-30,9.1597
2004-07-31,9.084
2004-08-31,9.0336
2004-09-30,8.8695
2004-10-31,8.6046
2004-11-30,8.5037
2004-12-31,8.5415
2005-01-31,8.3523
2005-02-28,8.3144
2005-03-31,8.0368
2005-04-30,7.9107
2005-05-31,7.7845
2005-06-30,7.6331
2005-07-31,7.5448
2005-08-31,7.4691
2005-09-30,7.6079
2005-10-31,7.6457
2005-11-30,7.5826
2005-12-31,7.4943
2006-01-31,7.4691
2006-02-28,7.242
2006-03-31,7.2672
2006-04-30,7.3177
2006-05-31,7.2168
2006-06-30,6.8509
2006-07-31,6.5355
2006-08-31,6.4471
2006-09-30,6.1948
2006-10-31,6.1317
2006-11-30,5.8794
2006-12-31,5.8289
2007-01-31,5.7658
2007-02-28,5.892
2007-03-31,5.9551
2007-04-30,6.0434
2007-05-31,6.0182
2007-06-30,6.5985
2007-07-31,6.9897
2007-08-31,7.0654
2007-09-30,6.9518
2007-10-31,6.9266
2007-11-30,6.977
2007-12-31,6.8635
2008-01-31,6.813
2008-02-29,6.7121
2008-03-31,6.4093
2008-04-30,6.0434
2008-05-31,6.0056
2008-06-30,5.4378
2008-07-31,5.1476
2008-08-31,4.9079
2008-09-30,4.807
2008-10-31,4.7186
2008-11-30,4.6556
2008-12-31,4.7565
2009-01-31,4.6682
2009-02-28,4.6934
2009-03-31,4.6429
2009-04-30,4.7565
2009-05-31,4.6664
2009-06-30,4.9187
2009-07-31,4.9434
2009-08-31,4.8176
2009-09-30,4.8544
2009-10-31,5.0466
2009-11-30,5.1605
2009-12-31,5.1221
2010-01-31,5.1598
2010-02-28,5.1056
2010-03-31,5.2062
2010-04-30,5.0937
2010-05-31,5.102
2010-06-30,4.9383
2010-07-31,4.9831
2010-08-31,4.9455
2010-09-30,4.9217
2010-10-31,4.8161
2010-11-30,4.7911
2010-12-31,4.927
2011-01-31,5.164
2011-02-28,5.2014
2011-03-31,5.3505
2011-04-30,5.5126
2011-05-31,5.5001
2011-06-30,5.5867
2011-07-31,5.4246
2011-08-31,5.5867
2011-09-30,5.6983
2011-10-31,5.6733
2011-11-30,5.6159
2011-12-31,5.4918
2012-01-31,5.2297
2012-02-29,5.2743
2012-03-31,5.2605
2012-04-30,5.1976
2012-05-31,5.2474
2012-06-30,5.0598
2012-07-31,5.2343
2012-08-31,5.2704
2012-09-30,5.2782
2012-10-31,5.4767
2012-11-30,5.4374
2012-12-31,5.8802
2013-01-31,5.8648
2013-02-28,5.9636
2013-03-31,6.0508
2013-04-30,6.0742
2013-05-31,6.2111
2013-06-30,6.3597
2013-07-31,6.3978
2013-08-31,6.6094
2013-09-30,6.5837
2013-10-31,6.621
2013-11-30,6.6799
2013-12-31,6.3922
2014-01-31,6.5358
2014-02-28,6.5521
2014-03-31,6.4285
2014-04-30,6.4779
2014-05-31,6.4648
2014-06-30,6.5126
2014-07-31,6.7103
2014-08-31,6.5497
2014-09-30,6.6609
2014-10-31,6.7598
2014-11-30,6.8463
2014-12-31,6.7968
2015-01-31,6.8957
2015-02-28,6.8339
2015-03-31,6.7721
2015-04-30,6.8833
2015-05-31,6.7474
2015-06-30,6.9451
2015-07-31,6.8833
2015-08-31,6.9946
2015-09-30,6.9946
2015-10-31,6.7968
2015-11-30,6.6856
2015-12-31,6.8957
2016-01-31,6.7474
2016-02-29,6.7598
2016-03-31,6.8463
2016-04-30,6.735
2016-05-31,6.7227
2016-06-30,6.389
2016-07-31,6.1172
2016-08-31,5.9194
2016-09-30,5.8082
2016-10-31,5.6105
2016-11-30,5.4869
2016-12-31,5.2645
2017-01-31,5.1903
2017-02-28,5.042
2017-03-31,4.7949
2017-04-30,4.7207
2017-05-31,4.6466
2017-06-30,4.7454
2017-07-31,4.6713
2017-08-31,4.7825
