Date,Value
2014-09-30,5737.5
2014-10-31,5600.0
2014-11-30,5100.0
2014-12-31,5000.0
2015-01-31,5000.0
2015-02-28,4900.0
2015-03-31,5000.0
2015-04-30,5250.0
2015-05-31,4999.5
2015-06-30,5500.0
2015-07-31,5600.0
2015-08-31,6400.0
2015-09-30,6000.0
2015-10-31,5500.0
2015-11-30,5425.0
2015-12-31,5125.0
2016-01-31,4999.5
2016-02-29,5199.0
2016-03-31,5000.0
2016-04-30,5000.0
2016-05-31,5600.0
2016-06-30,4900.0
2016-07-31,5147.5
2016-08-31,4700.0
2016-09-30,4995.0
2016-10-31,4900.0
2016-11-30,5500.0
2016-12-31,5000.0
2017-01-31,5250.0
2017-02-28,5500.0
2017-03-31,5799.5
2017-04-30,5947.5
2017-05-31,5500.0
2017-06-30,5550.0
2017-07-31,4997.5
2017-08-31,5397.5
2017-09-30,6100.0
2017-10-31,5800.0
2017-11-30,5897.5
2017-12-31,5900.0
2018-01-31,5850.0
2018-02-28,5700.0
2018-03-31,5895.0
2018-04-30,5700.0
2018-05-31,5995.0
2018-06-30,5747.5
2018-07-31,5850.0
2018-08-31,5895.0
2018-09-30,6095.0
2018-10-31,6550.0
2018-11-30,6525.0
2018-12-31,6595.0
2019-01-31,6222.5
2019-02-28,6250.0
2019-03-31,6547.5
2019-04-30,5800.0
