Date,Value
2010-01-31,147450.0
2010-02-28,149500.0
2010-03-31,149250.0
2010-04-30,145900.0
2010-05-31,147450.0
2010-06-30,149700.0
2010-07-31,149944.0
2010-08-31,155000.0
2010-09-30,155000.0
2010-10-31,159000.0
2010-11-30,159950.0
2010-12-31,159900.0
2011-01-31,162000.0
2011-02-28,168500.0
2011-03-31,164950.0
2011-04-30,165000.0
2011-05-31,164999.0
2011-06-30,169000.0
2011-07-31,167500.0
2011-08-31,162000.0
2011-09-30,159700.0
2011-10-31,159950.0
2011-11-30,160000.0
2011-12-31,159949.5
2012-01-31,160000.0
2012-02-29,164950.0
2012-03-31,159900.0
2012-04-30,160000.0
2012-05-31,162500.0
2012-06-30,165000.0
2012-07-31,175000.0
2012-08-31,165000.0
2012-09-30,169000.0
2012-10-31,169000.0
2012-11-30,169000.0
2012-12-31,175000.0
2013-01-31,179900.0
2013-02-28,189900.0
2013-03-31,195000.0
2013-04-30,195000.0
2013-05-31,199900.0
2013-06-30,200000.0
2013-07-31,200000.0
2013-08-31,200000.0
2013-09-30,215000.0
2013-10-31,219900.0
2013-11-30,224949.5
2013-12-31,220000.0
2014-01-31,239000.0
2014-02-28,246999.0
2014-03-31,239000.0
2014-04-30,239450.0
2014-05-31,249000.0
2014-06-30,249450.0
2014-07-31,250000.0
2014-08-31,248500.0
2014-09-30,252500.0
2014-10-31,250000.0
2014-11-30,257500.0
2014-12-31,256500.0
2015-01-31,256500.0
2015-02-28,255000.0
2015-03-31,250500.0
2015-04-30,254950.0
2015-05-31,254950.0
2015-06-30,265000.0
2015-07-31,265000.0
2015-08-31,269000.0
2015-09-30,284900.0
2015-10-31,285275.0
2015-11-30,285000.0
2015-12-31,290000.0
2016-01-31,295000.0
2016-02-29,295000.0
2016-03-31,299000.0
2016-04-30,290000.0
2016-05-31,315000.0
2016-06-30,310900.0
2016-07-31,315000.0
2016-08-31,319000.0
2016-09-30,325000.0
2016-10-31,319999.0
2016-11-30,320000.0
2016-12-31,319000.0
2017-01-31,320000.0
2017-02-28,329000.0
2017-03-31,329000.0
2017-04-30,335000.0
2017-05-31,339000.0
2017-06-30,339450.0
2017-07-31,349500.0
2017-08-31,350000.0
2017-09-30,359000.0
2017-10-31,353990.0
2017-11-30,359900.0
2017-12-31,359134.0
2018-01-31,359990.0
2018-02-28,359995.0
2018-03-31,360000.0
2018-04-30,370000.0
2018-05-31,370000.0
2018-06-30,365000.0
2018-07-31,375000.0
2018-08-31,377000.0
2018-09-30,380000.0
2018-10-31,398000.0
2018-11-30,391899.5
2018-12-31,385000.0
2019-01-31,387947.5
2019-02-28,399900.0
2019-03-31,415000.0
2019-04-30,417000.0
