Date,Value
2010-11-30,3783.0
2010-12-31,3797.0
2011-01-31,3791.0
2011-02-28,3787.0
2011-03-31,3803.0
2011-04-30,3818.0
2011-05-31,3823.0
2011-06-30,3810.0
2011-07-31,3798.0
2011-08-31,3766.0
2011-09-30,3753.0
2011-10-31,3751.0
2011-11-30,3757.0
2011-12-31,3742.0
2012-01-31,3703.0
2012-02-29,3653.0
2012-03-31,3603.0
2012-04-30,3581.0
2012-05-31,3575.0
2012-06-30,3590.0
2012-07-31,3616.0
2012-08-31,3657.0
2012-09-30,3681.0
2012-10-31,3679.0
2012-11-30,3660.0
2012-12-31,3643.0
2013-01-31,3667.0
2013-02-28,3684.0
2013-03-31,3677.0
2013-04-30,3667.0
2013-05-31,3675.0
2013-06-30,3686.0
2013-07-31,3717.0
2013-08-31,3766.0
2013-09-30,3854.0
2013-10-31,3905.0
2013-11-30,3937.0
2013-12-31,3932.0
2014-01-31,3915.0
2014-02-28,3873.0
2014-03-31,3822.0
2014-04-30,3795.0
2014-05-31,3811.0
2014-06-30,3876.0
2014-07-31,3959.0
2014-08-31,4073.0
2014-09-30,4198.0
2014-10-31,4302.0
2014-11-30,4362.0
2014-12-31,4383.0
2015-01-31,4394.0
2015-02-28,4421.0
2015-03-31,4460.0
2015-04-30,4522.0
2015-05-31,4583.0
2015-06-30,4658.0
2015-07-31,4719.0
2015-08-31,4780.0
2015-09-30,4825.0
2015-10-31,4850.0
2015-11-30,4842.0
2015-12-31,4815.0
2016-01-31,4807.0
2016-02-29,4777.0
2016-03-31,4792.0
2016-04-30,4831.0
2016-05-31,4934.0
2016-06-30,5023.0
2016-07-31,5092.0
2016-08-31,5129.0
2016-09-30,5140.0
2016-10-31,5122.0
2016-11-30,5108.0
2016-12-31,5105.0
2017-01-31,5114.0
2017-02-28,5130.0
2017-03-31,5139.0
2017-04-30,5146.0
2017-05-31,5162.0
2017-06-30,5197.0
2017-07-31,5230.0
2017-08-31,5254.0
2017-09-30,5260.0
2017-10-31,5267.0
2017-11-30,5260.0
2017-12-31,5257.0
2018-01-31,5249.0
2018-02-28,5231.0
2018-03-31,5208.0
2018-04-30,5182.0
2018-05-31,5168.0
2018-06-30,5160.0
2018-07-31,5156.0
2018-08-31,5149.0
2018-09-30,5137.0
2018-10-31,5139.0
2018-11-30,5178.0
2018-12-31,5245.0
2019-01-31,5305.0
2019-02-28,5325.0
2019-03-31,5313.0
2019-04-30,5304.0
