Date,Value
1996-04-30,181500.0
1996-05-31,181900.0
1996-06-30,182500.0
1996-07-31,183200.0
1996-08-31,183900.0
1996-09-30,184800.0
1996-10-31,185700.0
1996-11-30,186600.0
1996-12-31,187800.0
1997-01-31,189100.0
1997-02-28,190200.0
1997-03-31,191000.0
1997-04-30,191800.0
1997-05-31,192500.0
1997-06-30,193100.0
1997-07-31,193800.0
1997-08-31,194500.0
1997-09-30,195400.0
1997-10-31,196700.0
1997-11-30,198300.0
1997-12-31,200400.0
1998-01-31,203000.0
1998-02-28,205800.0
1998-03-31,208500.0
1998-04-30,211500.0
1998-05-31,214600.0
1998-06-30,217700.0
1998-07-31,220900.0
1998-08-31,224000.0
1998-09-30,227100.0
1998-10-31,230000.0
1998-11-30,232900.0
1998-12-31,235900.0
1999-01-31,239100.0
1999-02-28,242000.0
1999-03-31,244600.0
1999-04-30,247000.0
1999-05-31,249300.0
1999-06-30,251400.0
1999-07-31,253200.0
1999-08-31,254800.0
1999-09-30,256200.0
1999-10-31,257700.0
1999-11-30,259300.0
1999-12-31,261300.0
2000-01-31,263600.0
2000-02-29,265900.0
2000-03-31,268100.0
2000-04-30,270400.0
2000-05-31,272900.0
2000-06-30,275300.0
2000-07-31,277800.0
2000-08-31,280300.0
2000-09-30,282800.0
2000-10-31,285500.0
2000-11-30,288200.0
2000-12-31,291100.0
2001-01-31,294200.0
2001-02-28,297200.0
2001-03-31,300000.0
2001-04-30,302700.0
2001-05-31,305300.0
2001-06-30,307900.0
2001-07-31,310600.0
2001-08-31,313300.0
2001-09-30,316400.0
2001-10-31,319800.0
2001-11-30,323800.0
2001-12-31,328200.0
2002-01-31,333100.0
2002-02-28,338300.0
2002-03-31,343700.0
2002-04-30,349300.0
2002-05-31,355200.0
2002-06-30,361300.0
2002-07-31,367700.0
2002-08-31,374200.0
2002-09-30,380900.0
2002-10-31,387700.0
2002-11-30,395100.0
2002-12-31,402400.0
2003-01-31,408300.0
2003-02-28,413100.0
2003-03-31,417900.0
2003-04-30,422500.0
2003-05-31,427100.0
2003-06-30,432400.0
2003-07-31,438600.0
2003-08-31,445800.0
2003-09-30,453800.0
2003-10-31,462400.0
2003-11-30,471200.0
2003-12-31,480100.0
2004-01-31,489200.0
2004-02-29,498800.0
2004-03-31,508900.0
2004-04-30,519500.0
2004-05-31,530100.0
2004-06-30,540300.0
2004-07-31,549800.0
2004-08-31,558600.0
2004-09-30,566900.0
2004-10-31,574500.0
2004-11-30,580800.0
2004-12-31,586800.0
2005-01-31,593200.0
2005-02-28,600400.0
2005-03-31,608600.0
2005-04-30,617900.0
2005-05-31,627500.0
2005-06-30,637300.0
2005-07-31,646400.0
2005-08-31,654200.0
2005-09-30,660800.0
2005-10-31,666300.0
2005-11-30,670500.0
2005-12-31,673700.0
2006-01-31,676100.0
2006-02-28,678000.0
2006-03-31,679700.0
2006-04-30,681400.0
2006-05-31,682700.0
2006-06-30,683400.0
2006-07-31,682600.0
2006-08-31,679800.0
2006-09-30,675500.0
2006-10-31,670700.0
2006-11-30,666000.0
2006-12-31,662200.0
2007-01-31,659400.0
2007-02-28,656800.0
2007-03-31,654400.0
2007-04-30,651700.0
2007-05-31,648600.0
2007-06-30,645100.0
2007-07-31,641500.0
2007-08-31,637000.0
2007-09-30,632300.0
2007-10-31,627900.0
2007-11-30,624600.0
2007-12-31,621900.0
2008-01-31,619100.0
2008-02-29,614700.0
2008-03-31,608900.0
2008-04-30,600900.0
2008-05-31,591300.0
2008-06-30,581300.0
2008-07-31,573500.0
2008-08-31,568300.0
2008-09-30,564500.0
2008-10-31,560700.0
2008-11-30,557300.0
2008-12-31,554500.0
2009-01-31,552000.0
2009-02-28,549000.0
2009-03-31,545700.0
2009-04-30,541500.0
2009-05-31,536300.0
2009-06-30,532700.0
2009-07-31,533100.0
2009-08-31,536000.0
2009-09-30,538400.0
2009-10-31,540000.0
2009-11-30,541100.0
2009-12-31,541900.0
2010-01-31,542600.0
2010-02-28,543500.0
2010-03-31,539800.0
2010-04-30,534900.0
2010-05-31,532500.0
2010-06-30,531600.0
2010-07-31,527400.0
2010-08-31,524400.0
2010-09-30,525400.0
2010-10-31,529700.0
2010-11-30,531400.0
2010-12-31,529700.0
2011-01-31,526300.0
2011-02-28,522400.0
2011-03-31,518900.0
2011-04-30,518900.0
2011-05-31,520100.0
2011-06-30,519000.0
2011-07-31,515800.0
2011-08-31,511400.0
2011-09-30,505100.0
2011-10-31,498800.0
2011-11-30,494500.0
2011-12-31,492100.0
2012-01-31,491900.0
2012-02-29,493400.0
2012-03-31,497500.0
2012-04-30,503000.0
2012-05-31,508400.0
2012-06-30,513500.0
2012-07-31,518500.0
2012-08-31,522500.0
2012-09-30,526000.0
2012-10-31,530500.0
2012-11-30,537200.0
2012-12-31,543300.0
2013-01-31,547700.0
2013-02-28,554000.0
2013-03-31,564200.0
2013-04-30,573700.0
2013-05-31,582600.0
2013-06-30,593800.0
2013-07-31,606600.0
2013-08-31,617600.0
2013-09-30,625100.0
2013-10-31,628400.0
2013-11-30,630600.0
2013-12-31,632900.0
2014-01-31,635600.0
2014-02-28,639500.0
2014-03-31,644800.0
2014-04-30,650000.0
2014-05-31,656000.0
2014-06-30,662500.0
2014-07-31,666100.0
2014-08-31,667600.0
2014-09-30,670700.0
2014-10-31,674000.0
2014-11-30,676700.0
2014-12-31,683800.0
2015-01-31,693900.0
2015-02-28,702200.0
2015-03-31,709500.0
2015-04-30,718400.0
2015-05-31,727000.0
2015-06-30,733400.0
2015-07-31,737900.0
2015-08-31,741500.0
2015-09-30,747700.0
2015-10-31,756100.0
2015-11-30,765500.0
2015-12-31,774200.0
2016-01-31,781900.0
2016-02-29,787900.0
2016-03-31,793400.0
2016-04-30,797300.0
2016-05-31,799200.0
2016-06-30,799100.0
2016-07-31,801700.0
2016-08-31,808700.0
2016-09-30,818800.0
2016-10-31,826600.0
2016-11-30,831500.0
2016-12-31,835500.0
2017-01-31,839400.0
2017-02-28,844900.0
2017-03-31,853800.0
2017-04-30,864200.0
2017-05-31,871800.0
2017-06-30,878800.0
2017-07-31,888800.0
2017-08-31,903000.0
2017-09-30,915400.0
2017-10-31,924500.0
2017-11-30,931200.0
2017-12-31,939000.0
2018-01-31,950900.0
2018-02-28,964000.0
2018-03-31,972100.0
2018-04-30,975300.0
2018-05-31,981200.0
2018-06-30,990900.0
2018-07-31,1003900.0
2018-08-31,1016100.0
2018-09-30,1024600.0
2018-10-31,1034300.0
2018-11-30,1044200.0
2018-12-31,1047100.0
2019-01-31,1044500.0
2019-02-28,1040400.0
2019-03-31,1031000.0
2019-04-30,1021200.0
