Date,Value
1997-02-28,25.01
1997-03-31,30.06
1997-04-30,28.47
1997-05-31,39.41
1997-06-30,32.21
1997-07-31,40.04
1997-08-31,51.27
1997-09-30,51.45
1997-10-31,58.45
1997-11-30,52.38
1997-12-31,59.49
1998-01-31,58.12
1998-02-28,53.99
1998-03-31,54.3
1998-04-30,59.14
1998-05-31,61.31
1998-06-30,67.61
1998-07-31,73.54
1998-08-31,75.75
1998-09-30,74.29
1998-10-31,70.54
1998-11-30,76.12
1998-12-31,70.83
1999-01-31,78.94
1999-02-28,83.12
1999-03-31,83.69
1999-04-30,83.17
1999-05-31,83.28
1999-06-30,81.8
1999-07-31,80.94
1999-08-31,88.04
1999-09-30,90.0
1999-10-31,88.62
1999-11-30,89.82
1999-12-31,89.64
2000-01-31,89.19
2000-02-29,90.65
2000-03-31,90.47
2000-04-30,90.93
2000-05-31,91.42
2000-06-30,90.25
2000-07-31,91.19
2000-08-31,89.35
2000-09-30,87.8
2000-10-31,86.04
2000-11-30,83.12
2000-12-31,80.75
2001-01-31,80.68
2001-02-28,79.58
2001-03-31,78.82
2001-04-30,76.41
2001-05-31,75.74
2001-06-30,76.07
2001-07-31,80.26
2001-08-31,87.3
2001-09-30,91.54
2001-10-31,93.55
2001-11-30,91.84
2001-12-31,91.76
2002-01-31,92.91
2002-02-28,92.55
2002-03-31,93.59
2002-04-30,95.22
2002-05-31,95.61
2002-06-30,96.94
2002-07-31,97.64
2002-08-31,98.38
2002-09-30,98.71
2002-10-31,99.22
2002-11-30,98.85
2002-12-31,99.19
2003-01-31,99.21
2003-02-28,99.02
2003-03-31,99.05
2003-04-30,99.45
2003-05-31,99.27
2003-06-30,98.94
2003-07-31,98.87
2003-08-31,99.55
2003-09-30,99.58
2003-10-31,99.68
2003-11-30,99.73
2003-12-31,99.76
2004-01-31,99.65
2004-02-29,99.76
2004-03-31,99.84
2004-04-30,99.81
2004-05-31,99.86
2004-06-30,99.77
2004-07-31,99.66
2004-08-31,99.84
2004-09-30,99.74
2004-10-31,99.39
2004-11-30,99.16
2004-12-31,98.41
2005-01-31,97.86
2005-02-28,97.85
2005-03-31,97.96
2005-04-30,99.23
2005-05-31,98.59
2005-06-30,99.52
2005-07-31,99.49
2005-08-31,99.45
2005-09-30,99.23
2005-10-31,99.35
2005-11-30,99.36
2005-12-31,99.49
2006-01-31,99.54
2006-02-28,99.46
2006-03-31,99.29
2006-04-30,99.38
2006-05-31,99.71
2006-06-30,99.58
2006-07-31,99.5
2006-08-31,98.67
2006-09-30,97.66
2006-10-31,92.81
2006-11-30,83.89
2006-12-31,68.67
2007-01-31,60.74
2007-02-28,58.32
2007-03-31,55.0
2007-04-30,48.47
2007-05-31,36.66
2007-06-30,25.19
2007-07-31,16.1
2007-08-31,12.09
2007-09-30,10.04
2007-10-31,8.65
2007-11-30,6.4
2007-12-31,5.04
2008-01-31,3.38
2008-02-29,1.77
2008-03-31,0.71
2008-04-30,0.43
2008-05-31,0.31
2008-06-30,0.36
2008-07-31,0.37
2008-08-31,0.33
2008-09-30,0.26
2008-10-31,0.28
2008-11-30,0.2
2008-12-31,0.29
2009-01-31,0.12
2009-02-28,0.17
2009-03-31,0.28
2009-04-30,0.33
2009-05-31,0.42
2009-06-30,0.56
2009-07-31,0.84
2009-08-31,1.8
2009-09-30,2.6
2009-10-31,3.58
2009-11-30,5.64
2009-12-31,8.12
2010-01-31,10.99
2010-02-28,13.58
2010-03-31,15.06
2010-04-30,17.12
2010-05-31,22.8
2010-06-30,27.51
2010-07-31,31.35
2010-08-31,33.07
2010-09-30,36.03
2010-10-31,34.51
2010-11-30,32.17
2010-12-31,27.48
2011-01-31,25.54
2011-02-28,20.61
2011-03-31,21.8
2011-04-30,23.32
2011-05-31,22.11
2011-06-30,19.73
2011-07-31,18.29
2011-08-31,18.83
2011-09-30,18.67
2011-10-31,18.61
2011-11-30,19.91
2011-12-31,19.2
2012-01-31,21.2
2012-02-29,26.24
2012-03-31,25.97
2012-04-30,24.97
2012-05-31,29.61
2012-06-30,37.5
2012-07-31,45.17
2012-08-31,53.15
