Date,Value
2006-02-28,189.7
2006-03-31,192.1
2006-04-30,194.4
2006-05-31,196.5
2006-06-30,198.4
2006-07-31,199.9
2006-08-31,201.1
2006-09-30,201.8
2006-10-31,202.3
2006-11-30,202.6
2006-12-31,202.8
2007-01-31,203.1
2007-02-28,203.5
2007-03-31,204.2
2007-04-30,205.3
2007-05-31,206.8
2007-06-30,208.9
2007-07-31,211.7
2007-08-31,215.3
2007-09-30,219.5
2007-10-31,224.4
2007-11-30,229.6
2007-12-31,235.2
2008-01-31,241.0
2008-02-29,246.8
2008-03-31,252.2
2008-04-30,257.3
2008-05-31,261.7
2008-06-30,265.2
2008-07-31,267.7
2008-08-31,268.8
2008-09-30,268.3
2008-10-31,266.5
2008-11-30,263.9
2008-12-31,260.6
2009-01-31,256.3
2009-02-28,251.7
2009-03-31,246.7
2009-04-30,241.3
2009-05-31,235.8
2009-06-30,230.8
2009-07-31,225.9
2009-08-31,221.1
2009-09-30,216.6
2009-10-31,212.6
2009-11-30,208.8
2009-12-31,205.3
2010-01-31,202.0
2010-02-28,199.2
2010-03-31,196.7
2010-04-30,194.6
2010-05-31,192.8
2010-06-30,191.4
2010-07-31,190.3
2010-08-31,189.7
2010-09-30,189.3
2010-10-31,189.2
2010-11-30,189.3
2010-12-31,189.5
2011-01-31,189.7
2011-02-28,190.0
2011-03-31,190.2
2011-04-30,190.4
2011-05-31,190.3
2011-06-30,190.0
2011-07-31,189.3
2011-08-31,188.3
2011-09-30,186.9
2011-10-31,185.1
2011-11-30,183.0
2011-12-31,180.7
2012-01-31,178.0
2012-02-29,175.0
2012-03-31,171.6
2012-04-30,167.9
2012-05-31,163.9
2012-06-30,159.6
2012-07-31,155.1
2012-08-31,150.6
2012-09-30,146.0
2012-10-31,141.5
2012-11-30,136.9
2012-12-31,132.5
2013-01-31,128.1
2013-02-28,123.8
2013-03-31,119.7
2013-04-30,115.9
2013-05-31,112.4
2013-06-30,109.1
2013-07-31,106.1
2013-08-31,103.5
2013-09-30,101.1
2013-10-31,99.2
2013-11-30,97.4
2013-12-31,95.9
2014-01-31,94.5
2014-02-28,93.3
2014-03-31,92.4
2014-04-30,91.6
2014-05-31,90.9
2014-06-30,90.4
2014-07-31,90.0
2014-08-31,89.7
2014-09-30,89.5
2014-10-31,89.4
2014-11-30,89.3
2014-12-31,89.4
2015-01-31,89.4
2015-02-28,89.5
2015-03-31,89.7
2015-04-30,89.8
2015-05-31,89.9
2015-06-30,90.0
2015-07-31,90.0
2015-08-31,90.0
2015-09-30,90.0
2015-10-31,90.0
2015-11-30,89.9
2015-12-31,89.9
2016-01-31,89.8
2016-02-29,89.7
2016-03-31,89.7
