Date,Value
1998-01-31,6.2698
1998-02-28,3.8889
1998-04-30,8.6207
1998-05-31,6.0345
1998-06-30,7.4249
1998-07-31,4.5776
1998-08-31,2.285
1998-11-30,2.1739
1999-02-28,10.7143
1999-03-31,7.5
1999-05-31,3.2258
1999-06-30,3.9247
1999-07-31,3.6969
1999-08-31,1.5937
1999-12-31,1.7242
2000-03-31,1.9481
2000-04-30,2.3252
2000-05-31,1.2575
2000-06-30,1.3301
2000-09-30,3.0303
2000-10-31,2.1212
2001-02-28,3.125
2001-11-30,3.5715
2002-05-31,1.6667
2002-11-30,2.6316
2003-05-31,6.6666
2003-06-30,4.6667
2004-01-31,2.9412
2004-05-31,2.1739
2004-06-30,3.6956
2004-07-31,2.1739
2005-05-31,1.9231
2006-09-30,1.6667
2007-06-30,1.5625
2007-12-31,1.0638
2008-01-31,4.9113
2008-02-29,7.7813
2008-03-31,7.5568
2008-04-30,5.4742
2008-05-31,4.0694
2008-06-30,5.9936
2008-07-31,8.4524
2008-08-31,7.5278
2008-09-30,11.7778
2008-10-31,12.4359
2008-12-31,24.0303
2009-03-31,21.0526
2009-04-30,24.355
2009-05-31,17.0367
2009-06-30,16.7056
2009-07-31,12.3781
2009-08-31,13.7954
2009-09-30,8.0502
2009-10-31,7.1642
2009-11-30,6.8768
2009-12-31,5.696
2010-01-31,9.5886
2010-02-28,7.4179
2010-03-31,7.6058
2010-04-30,9.994
2010-05-31,5.8152
2010-06-30,8.8531
2010-07-31,10.3831
2010-08-31,11.9579
2010-09-30,8.3667
2010-10-31,8.55
2010-11-30,14.7763
2010-12-31,11.5978
2011-01-31,12.2452
2011-02-28,11.3889
2011-03-31,9.9791
2011-04-30,8.9753
2011-05-31,13.8898
2011-06-30,10.0303
2011-07-31,13.6321
2011-08-31,10.9125
2011-09-30,11.9593
2011-10-31,10.47
2011-11-30,9.7685
2011-12-31,12.2358
2012-01-31,16.2128
2012-02-29,16.2356
2012-03-31,15.872
2012-04-30,11.3478
2012-05-31,8.6184
2012-06-30,5.3093
2012-07-31,3.6826
2012-08-31,2.8728
2012-09-30,3.0137
2012-10-31,2.963
2012-11-30,3.5672
2012-12-31,1.8869
2013-01-31,13.125
2013-02-28,12.9167
2013-03-31,6.6667
2013-05-31,2.439
2013-06-30,3.98
2013-07-31,6.4893
2013-08-31,3.5985
2013-09-30,5.7954
2013-10-31,5.1818
2013-11-30,2.7636
2014-04-30,1.8519
2014-05-31,2.6852
2014-06-30,3.9668
2014-07-31,2.124
2014-08-31,3.8567
2014-09-30,5.1287
2014-10-31,4.3121
2014-11-30,3.2172
2014-12-31,1.3776
2015-03-31,1.3514
2015-04-30,2.2973
2015-05-31,1.3514
2015-08-31,1.5625
2016-02-29,1.8519
2016-06-30,1.7857
2016-09-30,4.7619
2016-10-31,5.2564
2016-11-30,2.7747
2017-04-30,2.0833
2017-05-31,3.7311
2017-06-30,5.3409
2017-07-31,2.8693
2017-08-31,2.6616
